BOROUGH_GROUP,CONFIRMED_DEATH,PROBABLE_DEATH
BRONX,3409,876
BROOKLYN,4894,1543
MANHATTAN,2173,606
QUEENS,4801,1181
STATEN ISLAND,770,167
UNKNOWN,12,7
Data pending,0,448
