RACE_GROUP,CONFIRMED_DEATH,PROBABLE_DEATH
Hispanic/Latino,5367,1248
Black/African-American,4839,1446
White,4385,1168
Asian/Pacific-Islander,1328,408
Other/Unknown,1514,354
Data pending,0,67
