BOROUGH_GROUP,AGE_0_17_YRS,AGE_18_44_YRS,AGE_45_64_YRS,AGE_65_74_YRS,AGE_GE_75_YRS
Bronx,1.42,30.05,275.41,986.14,2170.57
Brooklyn,0.86,18.87,212.37,695.24,1740.96
Manhattan,0.43,8.61,99.26,392.23,1201.85
Queens,0.44,29.18,235.06,723.42,1763.26
StatenIsland,0.00,18.87,140.04,449.49,1503.09
