RACE_GROUP,AGE_0_17_YRS,AGE_18_44_YRS,AGE_45_64_YRS,AGE_65_74_YRS,AGE_GE_75_YRS
Asian/Pacific-Islander,0.45,7.49,95.23,368.93,1074.65
Black/African-American,1.31,27.8,264.65,907.13,2052
Hispanic/Latino,0.65,36.7,286.88,917.22,2102.1
White,0.44,6.36,93.73,370.46,1304.96
