period_start_date,period_end_date,not_sequenced,sequenced,cases,pct_sequenced,incomplete
12/29/2024,01/25/2025,6396,539,6935,8,
01/26/2025,02/22/2025,7475,796,8271,10,
02/23/2025,03/22/2025,8352,912,9264,10,
03/23/2025,04/19/2025,7738,788,8526,9,
04/20/2025,05/17/2025,4137,423,4560,9,
05/18/2025,06/14/2025,3561,353,3914,9,19680
