modzcta,modzcta_name,label,lat,lon,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange
10451,Concourse/Melrose,10451,40.820705,-73.923865,4.09,1320,54,434.9,Yes,September 4-September 10
10452,Concourse/Highbridge,10452,40.837364,-73.923461,3.22,1552,50,360.3,Yes,September 4-September 10
10453,Morris Heights/Mount Hope/University Heights,10453,40.852304,-73.913578,4.47,1545,69,297.4,Yes,September 4-September 10
10454,Mott Haven/Port Morris,10454,40.805487,-73.916605,4.86,844,41,343.6,Yes,September 4-September 10
10455,Mott Haven,10455,40.8147,-73.908583,3.33,960,32,346.1,Yes,September 4-September 10
10456,Claremont/Morrisania,10456,40.829884,-73.908121,3.13,1984,62,350.9,Yes,September 4-September 10
10457,Belmont/Claremont/Mount Hope/Tremont,10457,40.847151,-73.898676,3.32,1446,48,283.5,Yes,September 4-September 10
10458,Belmont/Fordham University/Kingsbridge,10458,40.862531,-73.88817,3.33,1531,51,326.3,Yes,September 4-September 10
10459,Charlotte Gardens/Hunts Point,10459,40.82584,-73.892976,3.51,1082,38,321.7,Yes,September 4-September 10
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,10460,40.841753,-73.879584,3.31,1209,40,348.2,Yes,September 4-September 10
10461,Morris Park/Pelham Bay/Westchester Square,10461,40.847415,-73.840601,5.7,1211,69,356.4,Yes,September 4-September 10
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,40.842874,-73.858772,4.08,1742,71,371.8,Yes,September 4-September 10
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,10463,40.880824,-73.906514,3.12,1763,55,347.2,Yes,September 4-September 10
10464,City Island,10464,40.872311,-73.804653,1.04,96,1,420,Yes,September 4-September 10
10465,Country Club/Throgs Neck,10465,40.823931,-73.822886,3.77,876,33,289.9,Yes,September 4-September 10
10466,Edenwald/Wakefield,10466,40.890965,-73.845912,4.46,1817,81,413.7,Yes,September 4-September 10
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,10467,40.880939,-73.873956,3.6,2443,88,341,Yes,September 4-September 10
10468,Fordham/Kingsbridge/University Heights,10468,40.868161,-73.899844,2.73,1463,40,303.3,Yes,September 4-September 10
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,10469,40.86876,-73.846984,2.91,1755,51,411.7,Yes,September 4-September 10
10470,Wakefield/Woodlawn,10470,40.895986,-73.86802,3.54,396,14,460.3,Yes,September 4-September 10
10471,Fieldston/North Riverdale/Riverdale,10471,40.899509,-73.901518,1.67,717,12,550.8,Yes,September 4-September 10
10472,Soundview,10472,40.829561,-73.869393,2.76,1305,36,301.6,Yes,September 4-September 10
10473,Castle Hill/Clason Point/Soundview,10473,40.818135,-73.858718,5.07,1579,80,394.2,Yes,September 4-September 10
10474,Hunts Point,10474,40.810595,-73.884618,1.76,284,5,275.6,Yes,September 4-September 10
10475,Co-op City/Edenwald,10475,40.868941,-73.824854,2.44,1272,31,484.4,Yes,September 4-September 10
