MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_WEEK4,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK1,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_WEEK4,COVID_CASE_RATE_WEEK3,COVID_CASE_RATE_WEEK2,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK
10301,Silver Lake/St. George,7,9,8,6,30,17.67,22.72,20.2,15.15,75.73,-13,1,2.52,2955,7459.57,1.02
10302,Elm Park,8,4,4,2,18,42.61,21.31,21.31,10.65,95.88,-50,0,0,1075,5726.01,1.67
10303,Graniteville/Mariner's Harbor/Port Ivory,4,6,7,2,19,15.25,22.87,26.69,7.62,72.43,-10,1,3.81,1691,6446.41,1.12
10304,New Dorp/Todt Hill,16,7,13,17,53,37.69,16.49,30.63,40.05,124.86,30,1,2.36,3403,8016.73,1.56
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,15,5,12,6,38,35.24,11.75,28.19,14.1,89.28,-10,0,0,2416,5676.56,1.57
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,12,9,8,8,37,22.35,16.76,14.9,14.9,68.92,-24,0,0,3229,6014.64,1.15
10307,Tottenville,2,2,1,2,7,13.15,13.15,6.57,13.15,46.01,-25,0,0,812,5336.99,0.86
10308,Great Kills,3,2,3,11,19,10.12,6.75,10.12,37.12,64.11,180,0,0,1586,5351.72,1.2
10309,Charleston/Prince's Bay/Woodrow,4,4,5,2,15,12.12,12.12,15.15,6.06,45.45,-13,1,3.03,1846,5593.1,0.81
10310,Port Richmond/Randall Manor/West Brighton,11,2,7,1,21,46.08,8.38,29.32,4.19,87.97,-38,0,0,1490,6241.89,1.41
10312,Annadale/Rossville,11,9,11,5,36,18.24,14.92,18.24,8.29,59.7,-20,0,0,3558,5900.07,1.01
10314,Bloomfield/Freshkills Park,25,12,23,22,82,27.52,13.21,25.32,24.22,90.27,22,0,0,6303,6939.01,1.3
10451,Concourse/Melrose,8,20,10,22,60,16.76,41.91,20.96,46.1,125.74,14,3,6.29,3378,7078.97,1.78
10452,Concourse/Highbridge,29,32,31,28,120,37.65,41.54,40.24,36.35,155.77,-3,5,6.49,5364,6963.07,2.24
10453,Morris Heights/Mount Hope/University Heights,23,25,33,26,107,28.33,30.79,40.65,32.03,131.8,23,2,2.46,4856,5981.47,2.2
10454,Mott Haven/Port Morris,7,8,15,7,37,18.31,20.93,39.24,18.31,96.8,47,1,2.62,2281,5967.55,1.62
10455,Mott Haven,13,13,15,16,57,30.82,30.82,35.57,37.94,135.15,19,2,4.74,2783,6598.79,2.05
10456,Claremont/Morrisania,23,22,24,19,88,24.61,23.54,25.68,20.33,94.18,-4,1,1.07,5926,6341.91,1.48
10457,Belmont/Claremont/Mount Hope/Tremont,23,14,15,14,66,30.8,18.75,20.08,18.75,88.37,-22,1,1.34,4743,6350.67,1.39
10458,Belmont/Fordham University/Kingsbridge,23,33,24,18,98,27.44,39.38,28.64,21.48,116.93,-25,1,1.19,4830,5763.19,2.03
10459,Charlotte Gardens/Hunts Point,9,12,5,15,41,18.61,24.82,10.34,31.02,84.79,-5,0,0,3538,7316.79,1.16
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,15,23,23,12,73,24.97,38.29,38.29,19.98,121.52,-8,0,0,3671,6110.87,1.99
10461,Morris Park/Pelham Bay/Westchester Square,9,10,5,8,32,18.19,20.21,10.11,16.17,64.67,-32,3,6.06,3398,6867.48,0.94
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,11,21,25,28,85,14.22,27.16,32.33,36.21,109.92,66,2,2.59,4928,6372.49,1.72
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,19,16,14,14,63,26.65,22.44,19.64,19.64,88.37,-20,4,5.61,5569,7812.05,1.13
10464,City Island,1,2,1,0,4,22.97,45.94,22.97,0,91.89,-67,0,0,348,7994.19,1.15
10465,Country Club/Throgs Neck,7,6,5,7,25,16.27,13.94,11.62,16.27,58.1,-8,2,4.65,3258,7571.39,0.77
10466,Edenwald/Wakefield,14,15,17,15,61,19.4,20.79,23.56,20.79,84.53,10,2,2.77,4547,6300.69,1.34
