date_of_interest,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,BX_DEATH_COUNT,BX_DEATH_COUNT_7DAY_AVG,BK_DEATH_COUNT,BK_DEATH_COUNT_7DAY_AVG,MN_DEATH_COUNT,MN_DEATH_COUNT_7DAY_AVG,QN_DEATH_COUNT,QN_DEATH_COUNT_7DAY_AVG,SI_DEATH_COUNT,SI_DEATH_COUNT_7DAY_AVG,INCOMPLETE
09/08/2021,20,13,1,3,8,5,3,2,6,3,2,1,
09/09/2021,19,14,3,3,4,5,3,2,8,4,1,1,
09/10/2021,15,15,2,3,6,5,1,2,6,5,0,1,
09/11/2021,15,15,1,3,8,6,0,1,5,5,1,1,
09/12/2021,11,15,3,3,2,5,2,1,3,5,1,1,
09/13/2021,13,14,4,3,4,5,1,1,2,4,2,1,
09/14/2021,10,15,1,2,6,5,2,2,1,4,0,1,
09/15/2021,10,13,0,2,5,5,0,1,4,4,1,1,
09/16/2021,12,12,2,2,3,5,2,1,4,4,1,1,
09/17/2021,11,12,2,2,6,5,1,1,1,3,1,1,
09/18/2021,11,11,2,2,1,4,1,1,7,3,0,1,
09/19/2021,17,12,2,2,9,5,1,1,5,3,0,1,
09/20/2021,15,12,2,2,7,5,2,1,3,4,1,1,
09/21/2021,14,13,1,2,4,5,2,1,7,4,0,1,
09/22/2021,16,14,2,2,6,5,1,1,5,5,2,1,
09/23/2021,11,14,2,2,2,5,1,1,5,5,1,1,
09/24/2021,10,13,5,2,3,5,0,1,2,5,0,1,
09/25/2021,16,14,3,2,6,5,1,1,5,5,1,1,
09/26/2021,15,14,3,3,5,5,0,1,3,4,4,1,
09/27/2021,17,14,5,3,4,4,3,1,5,5,0,1,
09/28/2021,14,14,2,3,6,5,2,1,4,4,0,1,
09/29/2021,15,14,1,3,3,4,1,1,8,5,2,1,
09/30/2021,8,14,0,3,3,4,0,1,4,4,1,1,
10/01/2021,8,13,1,2,2,4,1,1,3,5,1,1,
10/02/2021,12,13,2,2,4,4,0,1,6,5,0,1,
10/03/2021,12,12,3,2,4,4,3,1,2,5,0,1,
10/04/2021,13,12,5,2,3,4,1,1,3,4,1,1,
10/05/2021,6,11,1,2,1,3,0,1,3,4,1,1,
10/06/2021,17,11,5,2,6,3,2,1,2,3,2,1,
10/07/2021,13,12,3,3,2,3,3,1,4,3,1,1,
10/08/2021,16,13,0,3,8,4,2,2,5,4,1,1,
10/09/2021,8,12,0,2,3,4,1,2,4,3,0,1,
10/10/2021,17,13,1,2,5,4,3,2,4,4,4,1,
10/11/2021,9,12,1,2,1,4,0,2,6,4,1,1,
10/12/2021,4,12,0,1,1,4,0,2,2,4,1,1,
10/13/2021,9,11,1,1,2,3,0,1,5,4,1,1,
10/14/2021,8,10,0,0,2,3,1,1,4,4,1,1,
10/15/2021,9,9,2,1,3,2,0,1,4,4,0,1,
10/16/2021,6,9,0,1,4,3,0,1,1,4,1,1,
10/17/2021,11,8,2,1,4,2,1,0,4,4,0,1,
10/18/2021,13,9,2,1,6,3,1,0,3,3,1,1,
10/19/2021,11,10,1,1,3,3,3,1,3,3,1,1,
10/20/2021,7,9,1,1,3,4,1,1,2,3,0,1,
10/21/2021,15,10,2,1,5,4,1,1,6,3,1,1,
10/22/2021,10,10,2,1,2,4,1,1,3,3,2,1,
10/23/2021,10,11,1,2,4,4,0,1,5,4,0,1,
10/24/2021,14,11,3,2,4,4,0,1,4,4,3,1,
10/25/2021,9,11,2,2,5,4,0,1,2,4,0,1,
10/26/2021,7,10,2,2,2,4,1,1,2,3,0,1,
10/27/2021,10,11,0,2,6,4,1,1,3,4,0,1,
10/28/2021,7,10,1,2,2,4,1,1,2,3,1,1,
10/29/2021,4,9,1,1,0,3,1,1,2,3,0,1,
10/30/2021,10,9,0,1,2,3,4,1,4,3,0,1,
10/31/2021,7,8,0,1,0,2,1,1,5,3,1,0,
11/01/2021,4,7,0,1,2,2,1,1,1,3,0,0,
11/02/2021,10,7,1,0,4,2,0,1,2,3,3,1,
11/03/2021,6,7,1,1,1,2,1,1,3,3,0,1,
11/04/2021,4,6,0,0,3,2,0,1,0,2,1,1,
11/05/2021,6,7,1,0,4,2,0,1,1,2,0,1,
11/06/2021,12,7,1,1,2,2,0,0,5,2,4,1,
11/07/2021,8,7,0,1,3,3,1,0,2,2,2,1,
11/08/2021,8,8,2,1,1,3,1,0,3,2,1,2,
11/09/2021,12,8,3,1,5,3,0,0,2,2,2,1,
11/10/2021,6,8,0,1,2,3,1,0,2,2,1,2,
11/11/2021,6,8,1,1,4,3,0,0,1,2,0,1,
11/12/2021,16,10,3,1,6,3,1,1,3,3,3,2,
11/13/2021,8,9,2,2,5,4,0,1,0,2,1,1,
11/14/2021,5,9,2,2,1,3,0,0,1,2,1,1,
11/15/2021,12,9,2,2,4,4,2,1,3,2,1,1,
11/16/2021,10,9,2,2,1,3,1,1,4,2,2,1,
11/17/2021,7,9,1,2,1,3,2,1,2,2,1,1,
11/18/2021,7,9,1,2,3,3,0,1,3,2,0,1,
11/19/2021,8,8,1,2,2,2,1,1,4,2,0,1,
11/20/2021,10,8,2,2,3,2,1,1,4,3,0,1,
11/21/2021,4,8,1,1,1,2,0,1,2,3,0,1,
11/22/2021,8,8,0,1,4,2,0,1,3,3,1,1,
11/23/2021,6,7,1,1,4,3,0,1,1,3,0,0,
11/24/2021,14,8,2,1,8,4,1,0,2,3,1,0,
11/25/2021,7,8,0,1,2,3,0,0,3,3,2,1,
11/26/2021,11,9,1,1,3,4,1,0,4,3,2,1,
11/27/2021,9,8,1,1,3,4,1,0,2,2,2,1,
11/28/2021,10,9,2,1,2,4,0,0,6,3,0,1,
11/29/2021,10,10,1,1,5,4,1,1,3,3,0,1,
11/30/2021,6,10,0,1,3,4,0,1,2,3,1,1,
12/01/2021,18,10,4,1,8,4,0,0,4,3,2,1,
12/02/2021,15,11,3,2,7,4,1,1,3,3,1,1,
12/03/2021,13,12,1,2,7,5,1,1,2,3,2,1,
12/04/2021,11,12,2,2,5,5,1,1,3,3,0,1,
12/05/2021,14,12,0,2,6,6,4,1,4,3,0,1,
12/06/2021,9,12,2,2,4,6,1,1,2,3,0,1,
12/07/2021,17,14,5,2,6,6,0,1,3,3,3,1,
12/08/2021,8,12,2,2,2,5,0,1,4,3,0,1,
12/09/2021,11,12,4,2,3,5,1,1,3,3,0,1,
12/10/2021,16,12,2,2,7,5,1,1,6,4,0,0,
12/11/2021,9,12,1,2,1,4,4,2,3,4,0,0,
12/12/2021,17,12,5,3,7,4,0,1,4,4,1,1,
12/13/2021,21,14,1,3,6,5,2,1,9,5,2,1,
12/14/2021,20,15,1,2,7,5,3,2,6,5,3,1,
12/15/2021,11,15,6,3,1,5,2,2,1,5,1,1,
12/16/2021,12,15,2,3,4,5,3,2,1,4,2,1,
12/17/2021,23,16,2,3,12,5,3,2,5,4,1,1,
12/18/2021,18,17,2,3,7,6,3,2,5,4,1,2,
12/19/2021,27,19,4,3,12,7,4,3,6,5,1,2,
12/20/2021,13,18,2,3,9,7,2,3,0,3,0,1,
12/21/2021,11,16,2,3,1,7,2,3,4,3,2,1,
12/22/2021,32,19,4,3,14,8,2,3,11,5,1,1,
12/23/2021,23,21,3,3,5,9,4,3,7,5,4,1,
12/24/2021,44,24,10,4,19,10,1,3,12,6,2,2,
12/25/2021,38,27,7,5,10,10,6,3,10,7,5,2,
12/26/2021,35,28,4,5,11,10,4,3,13,8,3,2,
12/27/2021,37,31,8,5,11,10,5,3,12,10,1,3,
12/28/2021,39,35,7,6,13,12,5,4,13,11,1,2,
12/29/2021,49,38,15,8,19,13,7,5,6,10,2,3,
12/30/2021,35,40,5,8,17,14,4,5,9,11,0,2,
12/31/2021,61,42,10,8,24,15,10,6,15,11,2,2,
01/01/2022,68,46,15,9,23,17,9,6,18,12,3,2,
01/02/2022,69,51,11,10,21,18,9,7,25,14,3,2,
01/03/2022,77,57,15,11,28,21,8,7,24,16,2,2,
01/04/2022,94,65,15,12,36,24,13,9,24,17,6,3,
01/05/2022,87,70,12,12,23,25,15,10,30,21,7,3,
01/06/2022,99,79,13,13,32,27,25,13,25,23,4,4,
01/07/2022,104,85,17,14,31,28,16,14,38,26,2,4,
01/08/2022,108,91,15,14,43,31,11,14,33,28,6,4,
01/09/2022,126,99,25,16,47,34,16,15,31,29,7,5,
01/10/2022,122,106,20,17,42,36,21,17,30,30,9,6,
01/11/2022,147,113,24,18,51,38,22,18,44,33,6,6,
01/12/2022,126,119,24,20,46,42,25,19,27,33,4,5,
01/13/2022,135,124,21,21,48,44,24,19,35,34,7,6,
01/14/2022,139,129,33,23,44,46,17,19,40,34,5,6,
01/15/2022,105,129,15,23,44,46,19,21,25,33,2,6,
01/16/2022,126,129,23,23,53,47,20,21,27,33,3,5,
01/17/2022,111,127,25,24,32,45,12,20,33,33,9,5,
01/18/2022,125,124,27,24,37,43,16,19,37,32,8,5,
01/19/2022,100,120,20,23,32,41,15,18,26,32,7,6,
01/20/2022,119,118,18,23,35,40,24,18,36,32,6,6,
01/21/2022,123,116,23,22,48,40,15,17,31,31,6,6,
01/22/2022,88,113,11,21,38,39,7,16,24,31,8,7,
01/23/2022,106,110,20,21,36,37,19,15,28,31,3,7,
01/24/2022,119,111,19,20,44,39,11,15,31,30,14,7,
01/25/2022,106,109,20,19,37,39,19,16,28,29,2,7,
01/26/2022,114,111,27,20,30,38,17,16,35,30,5,6,
01/27/2022,81,105,13,19,26,37,11,14,23,29,8,7,
01/28/2022,101,102,17,18,31,35,17,14,21,27,15,8,
01/29/2022,83,101,13,18,31,34,16,16,19,26,4,7,
01/30/2022,87,99,17,18,31,33,10,14,25,26,4,7,
01/31/2022,94,95,16,18,37,32,15,15,18,24,8,7,
02/01/2022,76,91,14,17,22,30,11,14,27,24,2,7,
02/02/2022,91,88,12,15,30,30,14,13,27,23,8,7,
02/03/2022,75,87,12,14,23,29,13,14,19,22,8,7,
02/04/2022,52,80,11,14,13,27,11,13,13,21,4,5,
02/05/2022,51,75,13,14,13,24,9,12,13,20,3,5,
02/06/2022,54,70,9,12,22,23,9,12,7,18,7,6,
02/07/2022,39,63,5,11,18,20,4,10,8,16,4,5,
02/08/2022,57,60,8,10,28,21,6,9,12,14,3,5,
02/09/2022,49,54,8,9,14,19,8,9,15,12,4,5,
02/10/2022,46,50,6,9,14,17,6,8,13,12,7,5,
02/11/2022,42,48,10,8,10,17,7,7,9,11,6,5,
02/12/2022,33,46,7,8,5,16,5,6,11,11,5,5,
02/13/2022,45,44,12,8,19,15,4,6,7,11,3,5,
02/14/2022,23,42,3,8,11,14,3,6,2,10,4,5,
02/15/2022,26,38,2,7,5,11,5,5,13,10,1,4,
02/16/2022,32,35,7,7,10,11,2,5,11,9,2,4,
02/17/2022,41,35,6,7,15,11,12,5,7,9,1,3,
02/18/2022,35,34,5,6,13,11,7,5,7,8,3,3,
02/19/2022,31,33,6,6,10,12,2,5,12,8,1,2,
02/20/2022,16,29,3,5,8,10,0,4,4,8,1,2,
02/21/2022,29,30,3,5,9,10,3,4,12,9,2,2,
02/22/2022,12,28,2,5,4,10,2,4,4,8,0,1,
02/23/2022,19,26,3,4,5,9,2,4,7,8,2,1,
02/24/2022,19,23,4,4,7,8,3,3,3,7,2,2,
02/25/2022,17,20,4,4,3,7,2,2,6,7,2,1,
02/26/2022,6,17,0,3,1,5,1,2,4,6,0,1,
02/27/2022,18,17,1,2,4,5,5,3,7,6,1,1,
02/28/2022,7,14,3,2,1,4,2,2,1,5,0,1,
03/01/2022,20,15,4,3,3,3,2,2,8,5,3,1,
03/02/2022,20,15,2,3,11,4,2,2,4,5,1,1,
03/03/2022,9,14,1,2,4,4,1,2,2,5,1,1,
03/04/2022,13,13,4,2,4,4,1,2,4,4,0,1,
03/05/2022,12,14,6,3,2,4,1,2,1,4,2,1,
03/06/2022,8,13,2,3,2,4,1,1,3,3,0,1,
03/07/2022,10,13,1,3,2,4,0,1,5,4,2,1,
03/08/2022,5,11,1,2,3,4,0,1,1,3,0,1,
03/09/2022,12,10,2,2,4,3,2,1,4,3,0,1,
03/10/2022,10,10,2,3,3,3,3,1,2,3,0,1,
03/11/2022,9,9,1,2,3,3,1,1,4,3,0,1,
03/12/2022,9,9,2,2,4,3,1,1,2,3,0,0,
03/13/2022,9,9,0,1,4,3,1,1,2,3,2,1,
03/14/2022,15,10,3,2,3,3,2,1,4,3,3,1,
03/15/2022,10,11,4,2,1,3,4,2,0,3,1,1,
03/16/2022,8,10,1,2,1,3,0,2,5,3,1,1,
03/17/2022,4,9,0,2,1,2,1,1,1,3,1,1,
03/18/2022,7,9,1,2,2,2,2,2,1,2,1,1,
03/19/2022,5,8,0,1,3,2,0,1,1,2,1,1,
03/20/2022,8,8,0,1,2,2,3,2,2,2,1,1,
03/21/2022,3,6,0,1,2,2,1,2,0,1,0,1,
03/22/2022,5,6,0,0,1,2,1,1,2,2,1,1,
03/23/2022,4,5,1,0,0,2,0,1,0,1,3,1,
03/24/2022,5,5,1,0,1,2,2,1,1,1,0,1,
03/25/2022,5,5,3,1,0,1,0,1,2,1,0,1,
03/26/2022,4,5,2,1,1,1,1,1,0,1,0,1,
03/27/2022,6,5,1,1,3,1,1,1,1,1,0,1,
03/28/2022,4,5,0,1,2,1,2,1,0,1,0,1,
03/29/2022,5,5,2,1,1,1,0,1,2,1,0,0,
03/30/2022,5,5,0,1,3,2,0,1,1,1,1,0,
03/31/2022,3,5,1,1,1,2,0,1,1,1,0,0,
04/01/2022,5,5,1,1,1,2,1,1,2,1,0,0,
04/02/2022,2,4,0,1,0,2,0,1,1,1,1,0,
04/03/2022,4,4,2,1,0,1,1,1,0,1,1,0,
04/04/2022,5,4,1,1,0,1,2,1,2,1,0,0,
04/05/2022,4,4,0,1,2,1,0,1,1,1,1,1,
04/06/2022,3,4,1,1,1,1,0,1,1,1,0,0,
04/07/2022,2,4,0,1,0,1,0,1,2,1,0,0,
04/08/2022,3,3,0,1,1,1,0,0,1,1,1,1,
04/09/2022,6,4,1,1,1,1,2,1,1,1,1,1,
04/10/2022,8,4,3,1,3,1,0,1,1,1,1,1,
04/11/2022,2,4,0,1,0,1,1,0,1,1,0,1,
04/12/2022,5,4,1,1,3,1,1,1,0,1,0,0,
04/13/2022,3,4,1,1,0,1,0,1,1,1,1,1,
04/14/2022,7,5,0,1,2,1,2,1,3,1,0,1,
04/15/2022,6,5,0,1,4,2,2,1,0,1,0,0,
04/16/2022,4,5,0,1,1,2,0,1,2,1,1,0,
04/17/2022,4,4,1,0,1,2,0,1,2,1,0,0,
04/18/2022,3,5,0,0,2,2,0,1,0,1,1,0,
04/19/2022,5,5,0,0,2,2,0,1,2,1,1,1,
04/20/2022,1,4,0,0,0,2,0,1,1,1,0,0,
04/21/2022,4,4,1,0,3,2,0,0,0,1,0,0,
04/22/2022,7,4,0,0,3,2,2,0,2,1,0,0,
04/23/2022,3,4,0,0,2,2,0,0,1,1,0,0,
04/24/2022,4,4,0,0,0,2,0,0,3,1,1,0,
04/25/2022,4,4,0,0,1,2,2,1,1,1,0,0,
04/26/2022,7,4,1,0,2,2,2,1,1,1,1,0,
04/27/2022,4,5,0,0,1,2,0,1,3,2,0,0,
04/28/2022,5,5,1,0,1,1,3,1,0,2,0,0,
04/29/2022,4,4,1,0,0,1,1,1,2,2,0,0,
04/30/2022,5,5,1,1,0,1,0,1,2,2,2,1,
05/01/2022,4,5,1,1,2,1,0,1,1,1,0,0,
05/02/2022,6,5,0,1,2,1,3,1,0,1,1,1,
05/03/2022,6,5,1,1,1,1,1,1,2,1,1,1,
05/04/2022,4,5,0,1,0,1,2,1,1,1,1,1,
05/05/2022,5,5,1,1,1,1,2,1,1,1,0,1,
05/06/2022,6,5,3,1,2,1,0,1,1,1,0,1,
05/07/2022,7,5,0,1,3,2,1,1,3,1,0,0,
05/08/2022,6,6,2,1,3,2,0,1,1,1,0,0,
05/09/2022,9,6,0,1,6,2,1,1,1,1,1,0,
05/10/2022,3,6,0,1,1,2,1,1,1,1,0,0,
05/11/2022,11,7,0,1,5,3,1,1,4,2,1,0,
05/12/2022,11,8,1,1,7,4,1,1,1,2,1,0,
05/13/2022,4,7,1,1,1,4,0,1,2,2,0,0,
05/14/2022,13,8,2,1,2,4,3,1,5,2,1,1,
05/15/2022,11,9,1,1,6,4,2,1,2,2,0,1,
05/16/2022,7,9,2,1,2,3,0,1,3,3,0,0,
05/17/2022,7,9,1,1,2,4,2,1,0,2,2,1,
05/18/2022,8,9,0,1,6,4,0,1,2,2,0,1,
05/19/2022,5,8,1,1,2,3,1,1,1,2,0,0,
05/20/2022,10,9,2,1,2,3,2,1,4,2,0,0,
05/21/2022,14,9,3,1,5,4,3,1,3,2,0,0,
05/22/2022,6,8,0,1,0,3,1,1,4,2,1,0,
05/23/2022,12,9,1,1,5,3,2,2,3,2,1,1,
05/24/2022,14,10,2,1,6,4,2,2,2,3,2,1,
05/25/2022,11,10,2,2,4,3,0,2,3,3,2,1,
05/26/2022,6,10,1,2,3,4,0,1,2,3,0,1,
05/27/2022,8,10,0,1,2,4,2,1,3,3,1,1,
05/28/2022,8,9,1,1,4,3,2,1,1,3,0,1,
05/29/2022,13,10,1,1,2,4,1,1,3,2,6,2,
05/30/2022,5,9,0,1,3,3,2,1,0,2,0,2,
05/31/2022,8,8,2,1,3,3,0,1,3,2,0,1,
06/01/2022,10,8,2,1,3,3,2,1,3,2,0,1,
06/02/2022,13,9,1,1,5,3,2,2,5,3,0,1,
06/03/2022,10,10,0,1,6,4,1,1,1,2,2,1,
06/04/2022,10,10,4,1,1,3,1,1,2,2,2,1,
06/05/2022,12,10,1,1,4,4,3,2,3,2,1,1,
06/06/2022,15,11,2,2,4,4,2,2,4,3,3,1,
06/07/2022,9,11,2,2,1,3,2,2,2,3,2,1,
06/08/2022,17,12,2,2,5,4,4,2,4,3,2,2,
06/09/2022,11,12,0,2,5,4,2,2,3,3,1,2,
06/10/2022,12,12,3,2,1,3,3,2,5,3,0,2,
06/11/2022,14,13,3,2,4,3,1,2,5,4,1,1,
06/12/2022,13,13,1,2,3,3,3,2,4,4,2,2,
06/13/2022,7,12,1,2,4,3,0,2,1,3,1,1,
06/14/2022,5,11,1,2,2,3,1,2,0,3,1,1,
06/15/2022,6,10,0,1,1,3,2,2,2,3,1,1,
06/16/2022,13,10,1,1,6,3,2,2,4,3,0,1,
06/17/2022,8,9,1,1,3,3,1,1,3,3,0,1,
06/18/2022,7,8,2,1,4,3,1,1,0,2,0,1,
06/19/2022,3,7,0,1,1,3,0,1,1,2,1,1,
06/20/2022,10,7,1,1,4,3,1,1,3,2,1,1,
06/21/2022,13,9,2,1,3,3,3,1,4,2,1,1,
06/22/2022,8,9,2,1,0,3,2,1,3,3,1,1,
06/23/2022,10,8,2,1,3,3,1,1,3,2,1,1,
06/24/2022,14,9,0,1,2,2,4,2,6,3,2,1,
06/25/2022,12,10,3,1,4,2,0,2,5,4,0,1,
06/26/2022,8,11,0,1,3,3,2,2,3,4,0,1,
06/27/2022,13,11,0,1,4,3,5,2,3,4,1,1,
06/28/2022,11,11,2,1,3,3,2,2,4,4,0,1,
06/29/2022,10,11,1,1,2,3,2,2,3,4,2,1,
06/30/2022,9,11,2,1,6,3,0,2,1,4,0,1,
07/01/2022,9,10,2,1,3,4,0,2,2,3,2,1,
07/02/2022,10,10,0,1,5,4,3,2,2,3,0,1,
07/03/2022,14,11,1,1,7,4,2,2,3,3,1,1,
07/04/2022,13,11,1,1,4,4,2,2,6,3,0,1,
07/05/2022,11,11,3,1,7,5,0,1,1,3,0,1,
07/06/2022,5,10,1,1,3,5,0,1,1,2,0,0,
07/07/2022,8,10,2,1,2,4,2,1,1,2,1,1,
07/08/2022,5,9,1,1,3,4,0,1,0,2,1,0,
07/09/2022,15,10,1,1,3,4,2,1,7,3,2,1,
07/10/2022,8,9,3,2,1,3,3,1,1,2,0,1,
07/11/2022,7,8,1,2,1,3,3,1,1,2,1,1,
07/12/2022,15,9,2,2,5,3,2,2,6,2,0,1,
07/13/2022,13,10,2,2,3,3,1,2,7,3,0,1,
07/14/2022,15,11,2,2,5,3,1,2,6,4,1,1,
07/15/2022,12,12,4,2,3,3,1,2,4,5,0,1,
07/16/2022,7,11,2,2,1,3,1,2,2,4,1,0,
07/17/2022,19,13,2,2,0,3,5,2,9,5,3,1,
07/18/2022,14,14,3,2,3,3,1,2,3,5,4,1,
07/19/2022,12,13,2,2,3,3,2,2,4,5,1,1,
07/20/2022,15,13,3,3,4,3,2,2,3,4,3,2,
07/21/2022,16,14,3,3,6,3,2,2,5,4,0,2,
07/22/2022,19,15,1,2,6,3,0,2,10,5,2,2,
07/23/2022,21,17,2,2,8,4,4,2,5,6,2,2,
07/24/2022,17,16,0,2,7,5,2,2,5,5,3,2,
07/25/2022,18,17,0,2,9,6,5,2,4,5,0,2,
07/26/2022,13,17,3,2,3,6,2,2,3,5,2,2,
07/27/2022,15,17,0,1,5,6,3,3,6,5,1,1,
07/28/2022,14,17,3,1,1,6,3,3,6,6,1,2,
07/29/2022,17,16,2,1,5,5,2,3,6,5,2,2,
07/30/2022,16,16,2,1,4,5,5,3,3,5,2,2,
07/31/2022,13,15,4,2,4,4,1,3,3,4,1,1,
08/01/2022,14,15,1,2,4,4,5,3,3,4,1,1,
08/02/2022,15,15,3,2,5,4,1,3,6,5,0,1,
08/03/2022,10,14,1,2,3,4,1,3,4,4,1,1,
08/04/2022,14,14,2,2,3,4,0,2,4,4,5,2,
08/05/2022,17,14,2,2,2,4,4,2,8,4,1,2,
08/06/2022,17,14,1,2,7,4,3,2,4,5,2,2,
08/07/2022,16,15,2,2,5,4,1,2,5,5,3,2,
08/08/2022,20,16,2,2,7,5,2,2,6,5,3,2,
08/09/2022,20,16,1,2,4,4,3,2,10,6,2,2,
08/10/2022,10,16,3,2,3,4,0,2,4,6,0,2,
08/11/2022,9,16,1,2,5,5,1,2,0,5,2,2,
08/12/2022,12,15,1,2,2,5,4,2,4,5,1,2,
08/13/2022,15,15,4,2,6,5,3,2,2,4,0,2,
08/14/2022,14,14,1,2,4,4,3,2,6,5,0,1,
08/15/2022,12,13,2,2,2,4,1,2,5,4,2,1,
08/16/2022,14,12,4,2,5,4,2,2,3,3,0,1,
08/17/2022,19,14,4,2,7,4,2,2,6,4,0,1,
08/18/2022,15,14,3,3,2,4,3,3,6,5,1,1,
08/19/2022,10,14,0,3,5,4,3,2,1,4,1,1,
08/20/2022,21,15,4,3,5,4,3,2,5,5,4,1,
08/21/2022,14,15,2,3,4,4,3,2,4,4,1,1,
08/22/2022,16,16,6,3,4,5,2,3,4,4,0,1,
08/23/2022,11,15,3,3,3,4,2,3,3,4,0,1,
08/24/2022,16,15,4,3,3,4,3,3,5,4,1,1,
08/25/2022,12,14,3,3,4,4,1,2,4,4,0,1,
08/26/2022,18,15,5,4,9,5,0,2,3,4,1,1,
08/27/2022,13,14,5,4,2,4,1,2,4,4,1,1,
08/28/2022,14,14,1,4,3,4,4,2,4,4,2,1,
08/29/2022,5,13,0,3,3,4,1,2,1,3,0,1,
08/30/2022,14,13,4,3,3,4,3,2,4,4,0,1,
08/31/2022,12,13,4,3,2,4,3,2,2,3,1,1,
09/01/2022,11,12,0,3,4,4,3,2,1,3,3,1,
09/02/2022,12,12,2,2,3,3,2,2,3,3,2,1,
09/03/2022,10,11,3,2,5,3,1,2,1,2,0,1,
09/04/2022,18,12,2,2,8,4,2,2,4,2,2,1,
09/05/2022,10,12,2,2,3,4,1,2,4,3,0,1,
09/06/2022,8,12,0,2,3,4,1,2,1,2,3,2,
09/07/2022,11,11,2,2,4,4,2,2,2,2,1,2,
09/08/2022,13,12,2,2,5,4,1,1,4,3,1,1,
09/09/2022,12,12,1,2,6,5,1,1,2,3,2,1,
09/10/2022,9,12,3,2,0,4,0,1,5,3,1,1,
09/11/2022,10,10,3,2,4,4,0,1,2,3,1,1,
09/12/2022,9,10,2,2,1,3,0,1,5,3,1,1,
09/13/2022,13,11,2,2,1,3,6,1,4,3,0,1,
09/14/2022,9,11,1,2,1,3,0,1,4,4,3,1,
09/15/2022,13,11,3,2,5,3,2,1,3,4,0,1,
09/16/2022,19,12,3,2,5,2,4,2,6,4,1,1,
09/17/2022,10,12,4,3,2,3,3,2,1,4,0,1,
09/18/2022,14,12,3,3,2,2,1,2,6,4,2,1,
09/19/2022,11,13,2,3,4,3,1,2,4,4,0,1,
09/20/2022,9,12,2,3,1,3,1,2,4,4,1,1,
09/21/2022,14,13,2,3,4,3,1,2,5,4,2,1,
09/22/2022,10,12,2,3,3,3,1,2,4,4,0,1,
09/23/2022,7,11,0,2,1,2,2,1,3,4,1,1,
09/24/2022,4,10,1,2,1,2,1,1,1,4,0,1,
09/25/2022,6,9,1,1,0,2,2,1,2,3,1,1,
09/26/2022,8,8,0,1,4,2,0,1,3,3,1,1,
09/27/2022,9,8,0,1,4,2,0,1,3,3,2,1,
09/28/2022,6,7,0,1,2,2,2,1,2,3,0,1,
09/29/2022,11,7,1,0,4,2,1,1,5,3,0,1,
09/30/2022,16,9,2,1,4,3,2,1,7,3,1,1,
10/01/2022,7,9,0,1,3,3,1,1,3,4,0,1,
10/02/2022,8,9,1,1,3,3,0,1,2,4,2,1,
10/03/2022,9,9,0,1,5,4,1,1,2,3,1,1,
10/04/2022,6,9,2,1,1,3,1,1,2,3,0,1,
10/05/2022,15,10,4,1,5,4,2,1,3,3,1,1,
10/06/2022,14,11,4,2,1,3,2,1,6,4,1,1,
10/07/2022,12,10,1,2,5,3,1,1,4,3,1,1,
10/08/2022,14,11,4,2,2,3,2,1,4,3,2,1,
10/09/2022,12,12,1,2,3,3,2,2,3,3,3,1,
10/10/2022,15,13,1,2,4,3,3,2,4,4,3,2,
10/11/2022,17,14,3,3,2,3,2,2,8,5,2,2,
10/12/2022,8,13,2,2,4,3,0,2,2,4,0,2,
10/13/2022,14,13,5,2,1,3,3,2,3,4,2,2,
10/14/2022,13,13,6,3,2,3,2,2,3,4,0,2,
10/15/2022,7,12,2,3,0,2,1,2,2,4,2,2,
10/16/2022,9,12,4,3,1,2,1,2,2,3,1,1,
10/17/2022,18,12,1,3,3,2,4,2,9,4,1,1,
10/18/2022,11,11,2,3,1,2,2,2,5,4,1,1,
10/19/2022,14,12,1,3,6,2,2,2,4,4,1,1,
10/20/2022,10,12,2,3,2,2,4,2,1,4,1,1,
10/21/2022,16,12,1,2,7,3,4,3,3,4,1,1,
10/22/2022,8,12,1,2,4,3,1,3,1,4,1,1,
10/23/2022,20,14,4,2,3,4,9,4,3,4,1,1,
10/24/2022,22,14,1,2,5,4,4,4,5,3,7,2,
10/25/2022,20,16,4,2,3,4,1,4,11,4,1,2,
10/26/2022,16,16,1,2,6,4,3,4,5,4,1,2,
10/27/2022,13,16,2,2,5,5,1,3,4,5,1,2,
10/28/2022,14,16,1,2,3,4,3,3,6,5,1,2,
10/29/2022,12,17,1,2,5,4,3,3,2,5,1,2,
10/30/2022,12,16,2,2,6,5,2,2,2,5,0,2,
10/31/2022,15,15,5,2,3,4,0,2,5,5,2,1,
11/01/2022,15,14,5,2,3,4,1,2,6,4,0,1,
11/02/2022,18,14,6,3,2,4,1,2,8,5,1,1,
11/03/2022,15,14,1,3,3,4,2,2,9,5,0,1,
11/04/2022,7,13,0,3,3,4,2,2,1,5,1,1,
11/05/2022,17,14,3,3,3,3,4,2,6,5,1,1,
11/06/2022,14,14,2,3,3,3,1,2,5,6,3,1,
11/07/2022,13,14,3,3,5,3,0,2,4,6,1,1,
11/08/2022,16,14,2,2,5,3,3,2,3,5,3,1,
11/09/2022,20,15,1,2,7,4,4,2,8,5,0,1,
11/10/2022,12,14,1,2,3,4,3,2,3,4,2,2,
11/11/2022,25,17,1,2,8,5,5,3,8,5,3,2,
