week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
05/28/2022,275.43,373.25,207.2,236.13,311.84
06/04/2022,232.11,316.37,180.75,204.76,244.35
06/11/2022,207.68,269.78,163.27,192.84,211.47
06/18/2022,204.05,245.78,164.85,196.01,210.18
06/25/2022,225.61,271.21,186.46,213.5,226.92
07/02/2022,263.77,299.99,213.62,260.49,258.38
07/09/2022,294.28,331.63,263.95,295.07,267.31
07/16/2022,309.9,360.48,284.57,327.76,257.7
07/23/2022,287.54,316.04,277.4,306.79,242.44
07/30/2022,265.22,286.27,249.22,298.52,216.75
08/06/2022,237.9,260.69,217.87,274.6,191.93
08/13/2022,197.14,213.9,184.98,222.6,158.23
08/20/2022,168.18,186.05,148.9,184.8,137.28
08/27/2022,143.83,156.19,132.33,154.3,120.25
09/03/2022,108.46,104.43,111.49,117.72,89.71
