demo_variable,NUM_PEOP_TEST,NUM_PEOP_POS,PERCENT_POSITIVE,TEST_RATE
BoroA_Bronx,424183,145972,0.344,29909.809
BoroB_Brooklyn,911453,282891,0.31,35604.982
BoroC_Manhattan,608809,136211,0.224,37379.92
BoroD_Queens,855174,262009,0.306,37942.674
BoroE_Staten_Island,154251,40227,0.261,32395.94
