modzcta_first,NEIGHBORHOOD_NAME,label,lat,lon,NUM_PEOP_TEST,NUM_PEOP_POS,PERCENT_POSITIVE,TEST_RATE
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,40.842874,-73.858772,24559,6914,28.2,32608.023
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,10463,40.880824,-73.906514,23486,6630,28.2,33559.164
10464,City Island,10464,40.872311,-73.804653,1479,308,20.8,34512.568
10465,Country Club/Throgs Neck,10465,40.823931,-73.822886,14511,3589,24.7,33650.854
10466,Edenwald/Wakefield,10466,40.890965,-73.845912,15593,5070,32.5,21866.465
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,10467,40.880939,-73.873956,27344,9304,34,26792.456
10468,Fordham/Kingsbridge/University Heights,10468,40.868161,-73.899844,23891,9049,37.9,30703.723
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,10469,40.86876,-73.846984,17779,5437,30.6,24483.261
10470,Wakefield/Woodlawn,10470,40.895986,-73.86802,3970,1166,29.4,26481.173
10471,Fieldston/North Riverdale/Riverdale,10471,40.899509,-73.901518,7427,1790,24.1,34965.3
10472,Soundview,10472,40.829561,-73.869393,17773,6263,35.2,26144.79
10473,Castle Hill/Clason Point/Soundview,10473,40.818135,-73.858718,17058,4932,28.9,28857.8
10474,Hunts Point,10474,40.810595,-73.884618,3093,1072,34.7,25827.549
10475,Co-op City/Edenwald,10475,40.868941,-73.824854,10267,2886,28.1,24023.522
11004,Bellerose/Douglaston-Little Neck,"11004, 11005",40.748068,-73.710907,7458,1600,21.5,39357.246
11101,Astoria (South)/Long Island City/Sunnyside,11101,40.747077,-73.938586,15135,3225,21.3,41088.034
11102,Astoria (North),11102,40.772498,-73.925912,12304,3123,25.4,40952.243
11103,Astoria (North)/Astoria (South),11103,40.762536,-73.913541,13227,3180,24,37859.158
11104,Sunnyside,11104,40.744658,-73.920205,10547,2630,24.9,41463.098
11105,Ditmars Steinway,11105,40.778969,-73.906286,13801,2846,20.6,38134.998
11106,Astoria (South),11106,40.761792,-73.931771,13608,3329,24.5,36357.202
11109,Long Island City,11109,40.746211,-73.956999,2299,309,13.4,39894.105
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,11201,40.694609,-73.989581,24303,3586,14.8,39013.348
11203,East Flatbush (North)/East Flatbush (South),11203,40.649576,-73.934363,20430,7441,36.4,27866.295
11204,Bensonhurst/Mapleton,11204,40.618774,-73.984824,32019,11499,35.9,41535.924
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,11205,40.694625,-73.966212,14608,4121,28.2,32224.194
11206,Williamsburg (South),11206,40.701957,-73.942361,26538,8290,31.2,30605.492
11207,Cypress Hills/East New York,11207,40.670819,-73.894255,24989,7721,30.9,28067.49
11208,Cypress Hills/East New York,11208,40.668385,-73.871084,26957,9348,34.7,28207.972
11209,Bay Ridge/Fort Hamilton,11209,40.621811,-74.030011,24526,5249,21.4,36327.044
11210,Flatlands/Midwood,11210,40.628165,-73.946316,23534,9165,38.9,35827.482
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),"11211, 11249",40.712334,-73.953851,37926,11813,31.1,37304.138
11212,Ocean Hill-Brownsville,11212,40.662935,-73.913011,20407,6683,32.7,27589.334
11213,Crown Heights (East),11213,40.671074,-73.93633,21566,8369,38.8,33383.249
11214,Bath Beach/Bensonhurst/Gravesend,11214,40.598729,-73.99621,33487,7584,22.6,36079.624
11215,Gowanus/Park Slope/Windsor Terrace,11215,40.66252,-73.986872,23077,3272,14.2,33145.006
11216,Bedford-Stuyvesant (West)/Crown Heights (West),11216,40.680785,-73.94931,16516,3552,21.5,30124.746
11217,Boerum Hill/Park Slope,"11217, 11243",40.682417,-73.97938,14670,2442,16.6,35893.667
11218,Kensington/Windsor Terrace,11218,40.64348,-73.976044,29473,10178,34.5,39830.576
11219,Borough Park,11219,40.632662,-73.996666,39670,18188,45.8,44037.394
11220,Sunset Park,11220,40.641081,-74.016495,35269,8893,25.2,37285.883
11221,Bedford-Stuyvesant (East)/Bushwick,11221,40.691339,-73.927885,23753,6028,25.4,29165.991
11222,Greenpoint,11222,40.728292,-73.947562,14561,2477,17,40309.034
11223,Gravesend/Homecrest,11223,40.597169,-73.973422,30372,8729,28.7,37270.079
11224,Brighton Beach/Coney Island/Seagate,11224,40.57666,-73.988581,16924,4366,25.8,36575.976
11225,Crown Heights (West)/Prospect Lefferts Gardens,11225,40.663056,-73.954226,18361,6067,33,31924.573
11226,Flatbush/Prospect Lefferts Gardens,11226,40.646456,-73.956654,26220,8582,32.7,26932.34
11228,Bath Beach/Dyker Heights,11228,40.616715,-74.013054,14664,3056,20.8,32598.97
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,11229,40.601175,-73.944465,34066,8997,26.4,40782.233
11230,Midwood,11230,40.622164,-73.965096,39431,14718,37.3,44359.716
11231,Carroll Gardens/Cobble Hill/Red Hook,11231,40.677562,-74.004445,13173,2034,15.4,35243.944
11232,Sunset Park,11232,40.655984,-74.005304,8334,2559,30.7,30768.975
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,11233,40.678302,-73.919931,16667,4428,26.6,22424.971
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,11234,40.60758,-73.910513,33051,9482,28.7,35139.676
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,11235,40.583915,-73.949669,34909,9058,25.9,44642.023
11236,Canarsie,11236,40.640004,-73.901459,28793,9722,33.8,29647.685
11237,Bushwick/East Williamsburg,11237,40.704153,-73.920883,16189,5394,33.3,33726.675
11238,Clinton Hill/Prospect Heights,11238,40.679179,-73.963804,20625,3552,17.2,38516.4
11239,East New York,11239,40.64753,-73.882398,5474,1507,27.5,42035.586
11354,Flushing/Murray Hill,11354,40.76863,-73.827229,21193,4480,21.1,39305.367
11355,Flushing/Murray Hill/Queensboro Hill,11355,40.751459,-73.821014,35546,7154,20.1,45078.879
11356,College Point,11356,40.784867,-73.841495,8697,2308,26.5,38121.301
11357,Whitestone,11357,40.78639,-73.810964,15849,3172,20,40937.868
11358,Auburndale/Murray Hill,11358,40.760475,-73.79637,13276,2561,19.3,36852.581
11360,Bayside (North),11360,40.78205,-73.7808,7308,1267,17.3,38371.493
11361,Bayside (North)/Bayside (South),11361,40.763748,-73.772419,9685,1703,17.6,36726.511
11362,Douglaston-Little Neck,11362,40.756533,-73.736995,6504,1028,15.8,35930.296
11363,Douglaston-Little Neck,11363,40.772803,-73.746444,2586,434,16.8,38394.65
11364,Bayside (South)/Oakland Gardens,11364,40.745279,-73.760578,12586,2017,16,35266.467
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,11365,40.739775,-73.794806,16075,3143,19.6,36688.286
11366,Fresh Meadows/Hillcrest,11366,40.728136,-73.784981,5485,1386,25.3,38604.637
11367,Kew Gardens Hills/Pomonok,11367,40.730383,-73.826297,17472,5299,30.3,42954.036
11368,Corona/North Corona,11368,40.749594,-73.852604,42340,20393,48.2,38361.951
11369,Airport/East Elmhurst,11369,40.768944,-73.872812,14167,6042,42.6,42128.903
11370,Jackson Heights/Rikers Island,11370,40.763466,-73.891021,13430,4262,31.7,42262.826
11372,Jackson Heights,11372,40.75169,-73.883634,28751,11064,38.5,47379.22
11373,Elmhurst,11373,40.738823,-73.8785,41564,14196,34.2,45347.969
11374,Rego Park,11374,40.726441,-73.861497,19651,5247,26.7,47473.359
11375,Forest Hills,11375,40.720931,-73.846184,28521,6116,21.4,40020.196
11377,Woodside,11377,40.744823,-73.90516,33814,10716,31.7,40231.72
11378,Maspeth,11378,40.724768,-73.909399,13259,3679,27.7,36682.349
11379,Middle Village,11379,40.716758,-73.879597,14112,3202,22.7,38518.976
11385,Glendale/Ridgewood,11385,40.701058,-73.890159,35379,10104,28.6,34144.608
11411,Cambria Heights,11411,40.694202,-73.735998,5436,1557,28.6,25427.885
11412,St. Albans,11412,40.698095,-73.758984,9519,2994,31.5,24985.837
11413,Laurelton/Rosedale,11413,40.669738,-73.750842,11002,3414,31,25463.536
11414,Hamilton Beach/Howard Beach/Lindenwood,11414,40.658266,-73.844905,10252,2340,22.8,36151.551
11415,Kew Gardens,11415,40.708323,-73.828212,8014,2208,27.6,42462.715
11416,Ozone Park,11416,40.684652,-73.849549,9163,2829,30.9,34721.987
11417,Ozone Park,11417,40.676457,-73.844522,10933,3061,28,35220.777
11418,Richmond Hill,11418,40.700236,-73.836062,14476,4632,32,38514.751
11419,Richmond Hill/South Ozone Park,11419,40.688676,-73.822901,14381,4214,29.3,29648.54
11420,South Ozone Park,11420,40.673518,-73.817812,13579,3969,29.2,28387.131
11421,Woodhaven,11421,40.69405,-73.85867,15299,4857,31.7,38200.228
11422,Rosedale,11422,40.660819,-73.73608,8612,2507,29.1,26589.227
11423,Hollis/Holliswood,11423,40.71491,-73.767865,10010,3086,30.8,32146.798
11426,Bellerose,11426,40.736521,-73.722384,6885,1557,22.6,34145.718
11427,Bellerose/Hollis Hills/Holliswood,11427,40.730915,-73.745611,9089,2380,26.2,38557.111
11428,Queens Village,11428,40.721015,-73.742206,6875,1881,27.4,37000.318
11429,Queens Village,11429,40.709772,-73.738731,8079,2527,31.3,25114.789
11432,Hillcrest/Jamaica Estates/Jamaica Hills,11432,40.715359,-73.793064,25066,7904,31.5,41257.708
11433,Jamaica,11433,40.69823,-73.787095,9448,3047,32.3,25869.395
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,11434,40.656866,-73.783386,16753,5029,30,25093.101
11435,Briarwood/Jamaica,11435,40.701291,-73.809618,18205,5785,31.8,31164.918
11436,South Jamaica/South Ozone Park,11436,40.675819,-73.796618,4958,1450,29.2,24737.383
11691,Edgemere/Far Rockaway,11691,40.60133,-73.761357,19220,6753,35.1,28748.223
11692,Arverne/Edgemere,11692,40.592794,-73.792203,4697,1393,29.7,22335.687
11693,Arverne/Broad Channel,11693,40.603699,-73.821926,3583,855,23.9,28274.624
11694,Belle Harbor-Neponsit/Rockaway Park,11694,40.577599,-73.844553,7309,1833,25.1,35174.26
11697,Breezy Point,11697,40.55907,-73.907199,2380,478,20.1,70152.338
