MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
10302,Elm Park,Staten Island,10302,40.630598,-74.137891,7359,1762,9121,39810.72,49342.79,18484.97,90,486.88
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,10303,40.632135,-74.169166,10282,2302,12584,38781.57,47464.24,26512.59,120,452.62
10304,New Dorp/Todt Hill,Staten Island,10304,40.605985,-74.0943,16466,2480,18946,39310.65,45231.36,41886.87,382,911.98
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,10305,40.595474,-74.075437,17240,2516,19756,40227.56,46098.36,42856.19,212,494.68
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,10306,40.571571,-74.125541,23231,5243,28474,43992.43,53921.07,52806.81,375,710.14
10307,Tottenville,Staten Island,10307,40.507771,-74.24227,6081,949,7030,40778.81,47142.74,14912.16,54,362.12
10308,Great Kills,Staten Island,10308,40.551574,-74.150454,12412,1910,14322,41622.04,48026.97,29820.74,125,419.17
10309,Charleston/Prince's Bay/Woodrow,Staten Island,10309,40.531355,-74.220574,14385,2275,16660,43670.89,50577.48,32939.56,123,373.41
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,10310,40.632398,-74.11618,8874,2661,11535,37855.86,49207.5,23441.55,94,401
10312,Annadale/Rossville,Staten Island,10312,40.545128,-74.18169,25711,4581,30292,42112.78,49616.13,61052.73,251,411.12
10314,Bloomfield/Freshkills Park,Staten Island,10314,40.599333,-74.166462,33888,7686,41574,36626.22,44933.27,92523.87,608,657.13
10451,Concourse/Melrose,Bronx,10451,40.820705,-73.923865,17109,3931,21040,36119.99,44418.99,47367.12,316,667.13
10452,Concourse/Highbridge,Bronx,10452,40.837364,-73.923461,22669,4979,27648,30139.97,36759.89,75212.41,388,515.87
10453,Morris Heights/Mount Hope/University Heights,Bronx,10453,40.852304,-73.913578,23629,4709,28338,30032.7,36017.88,78677.58,381,484.25
10454,Mott Haven/Port Morris,Bronx,10454,40.805487,-73.916605,12836,3058,15894,33930.99,42014.58,37829.72,237,626.49
10455,Mott Haven,Bronx,10455,40.8147,-73.908583,14104,2853,16957,33666.1,40476.18,41893.78,241,575.26
10456,Claremont/Morrisania,Bronx,10456,40.829884,-73.908121,25656,6071,31727,27530.01,34044.46,93192.84,555,595.54
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,10457,40.847151,-73.898676,22013,4237,26250,29859.65,35606.95,73721.56,367,497.82
10458,Belmont/Fordham University/Kingsbridge,Bronx,10458,40.862531,-73.88817,24097,4925,29022,29123.61,35075.96,82740.43,324,391.59
10459,Charlotte Gardens/Hunts Point,Bronx,10459,40.82584,-73.892976,14870,4053,18923,31061.43,39527.6,47872.88,320,668.44
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,10460,40.841753,-73.879584,18865,4710,23575,32042.63,40042.67,58874.7,313,531.64
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,10461,40.847415,-73.840601,17576,4618,22194,35797.92,45203.63,49097.83,305,621.21
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,10462,40.842874,-73.858772,25288,7358,32646,33575.95,43345.48,75315.82,382,507.2
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,10463,40.880824,-73.906514,19889,6340,26229,28419.41,37478.64,69983.86,497,710.16
10464,City Island,Bronx,10464,40.872311,-73.804653,1147,277,1424,26765.32,33229.14,4285.4,21,490.04
10465,Country Club/Throgs Neck,Bronx,10465,40.823931,-73.822886,14313,4092,18405,33191.69,42681,43122.23,272,630.77
10466,Edenwald/Wakefield,Bronx,10466,40.890965,-73.845912,20274,3733,24007,28430.75,33665.63,71310.11,347,486.61
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,10467,40.880939,-73.873956,33462,6853,40315,32787.05,39501.82,102058.58,681,667.26
10468,Fordham/Kingsbridge/University Heights,Bronx,10468,40.868161,-73.899844,23449,5043,28492,30135.68,36616.74,77811.41,415,533.34
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,10469,40.86876,-73.846984,20486,5138,25624,28211.04,35286.52,72616.96,638,878.58
10470,Wakefield/Woodlawn,Bronx,10470,40.895986,-73.86802,4695,1097,5792,31317.16,38634.5,14991.78,67,446.91
10471,Fieldston/North Riverdale/Riverdale,Bronx,10471,40.899509,-73.901518,6205,1761,7966,29212.29,37502.84,21241.06,183,861.54
10472,Soundview,Bronx,10472,40.829561,-73.869393,20954,5079,26033,30824.17,38295.58,67979.13,374,550.17
10473,Castle Hill/Clason Point/Soundview,Bronx,10473,40.818135,-73.858718,21024,4642,25666,35567.26,43420.35,59110.54,333,563.35
10474,Hunts Point,Bronx,10474,40.810595,-73.884618,3236,818,4054,27021.64,33852.21,11975.58,52,434.22
10475,Co-op City/Edenwald,Bronx,10475,40.868941,-73.824854,12014,4287,16301,28111.29,38142.34,42737.28,360,842.36
11004,Bellerose/Douglaston-Little Neck,Queens,"11004, 11005",40.748068,-73.710907,5057,1147,6204,26686.72,32739.66,18949.5,169,891.84
