RACE_GROUP,CONFIRMED_DEATH,PROBABLE_DEATH
Hispanic/Latino,7007,1329
Black/African-American,6135,1484
White,6408,1301
Asian/Pacific-Islander,1972,438
Other/Unknown,2024,342
Data pending,0,150
