BOROUGH_GROUP,CONFIRMED_DEATH,PROBABLE_DEATH
QUEENS,7254,1292
BROOKLYN,7102,1749
BRONX,4749,957
MANHATTAN,3105,688
STATEN ISLAND,1336,203
UNKNOWN,0,5
Data pending,0,150
