MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
10075,Lenox Hill/Upper East Side,Manhattan,"10075, 10162",40.773132,-73.955884,7540,2319,9859,32719.3,42782.44,23044.5,109,473
10128,Upper East Side/Yorkville,Manhattan,10128,40.781466,-73.950226,17896,5814,23710,30560.74,40489.22,58558.8,154,262.98
10280,Battery Park City,Manhattan,10280,40.709318,-74.016654,1992,676,2668,21313.44,28546.31,9346.22,10,107
10282,Battery Park City,Manhattan,10282,40.716409,-74.015077,1245,325,1570,22344.09,28176.88,5571.94,3,53.84
10301,Silver Lake/St. George,Staten Island,10301,40.628224,-74.096232,15608,3502,19110,40118.28,49119.7,38904.96,282,724.84
10302,Elm Park,Staten Island,10302,40.630598,-74.137891,8017,2291,10308,43370.37,55764.23,18484.97,95,513.93
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,10303,40.632135,-74.169166,11273,3174,14447,42519.42,54491.09,26512.59,125,471.47
10304,New Dorp/Todt Hill,Staten Island,10304,40.605985,-74.0943,17972,3578,21550,42906.05,51448.11,41886.87,396,945.4
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,10305,40.595474,-74.075437,18970,3696,22666,44264.32,52888.51,42856.19,221,515.68
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,10306,40.571571,-74.125541,25633,7462,33095,48541.08,62671.84,52806.81,393,744.22
10307,Tottenville,Staten Island,10307,40.507771,-74.24227,6548,1294,7842,43910.48,52587.96,14912.16,59,395.65
10308,Great Kills,Staten Island,10308,40.551574,-74.150454,13733,2932,16665,46051.84,55883.92,29820.74,132,442.64
10309,Charleston/Prince's Bay/Woodrow,Staten Island,10309,40.531355,-74.220574,15543,2937,18480,47186.42,56102.75,32939.56,130,394.66
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,10310,40.632398,-74.11618,9706,3566,13272,41405.12,56617.42,23441.55,101,430.86
10312,Annadale/Rossville,Staten Island,10312,40.545128,-74.18169,27984,6307,34291,45835.79,56166.2,61052.73,269,440.6
10314,Bloomfield/Freshkills Park,Staten Island,10314,40.599333,-74.166462,37320,10900,48220,40335.54,52116.28,92523.87,629,679.82
10451,Concourse/Melrose,Bronx,10451,40.820705,-73.923865,18903,5309,24212,39907.43,51115.62,47367.12,320,675.57
