Date,Admit 0-17,Admit 18-44,Admit 45-64,Admit 65-74,Admit 75+,Admit All ages,Visit 0-17,Visit 18-44,Visit 45-64,Visit 65-74,Visit 75+,Visit All ages
2/1/2020,2.026727903,1.098025322,2.529123834,3.575934249,8.044243338,2.297961553,46.55683526,13.65112562,10.35968032,8.296167457,13.16330728,19.13380423
2/2/2020,1.563475811,0.919967161,1.750931885,4.291121098,8.409890763,2.024111213,53.27399059,13.7401547,9.630125367,11.15691486,12.43201243,20.56258861
2/3/2020,2.489979995,0.979319882,3.258678786,6.007569538,12.98048357,3.048073356,60.51230453,15.0755909,13.95881808,13.15943803,17.9167238,24.17026919
2/4/2020,2.316260461,0.979319882,1.994116869,4.577195838,11.15224645,2.464653065,54.83746641,16.58908527,11.77015323,10.58476538,15.35719183,22.69385866
2/5/2020,2.142540926,0.623203561,2.28593885,4.005046358,9.141185612,2.178896188,48.87309572,14.06659466,10.94332428,9.869578526,14.62589698,20.14585984
2/6/2020,1.737195345,0.623203561,2.43184984,2.288597919,8.227067051,1.92885892,39.66596039,13.05759842,10.35968032,6.865793757,12.43201243,17.31210414
2/7/2020,1.737195345,0.623203561,2.28593885,3.432896879,9.872480461,2.095550432,35.61250458,11.39572226,9.241029392,7.867055347,14.80872069,15.77616092
2/8/2020,1.621382322,0.623203561,2.091390862,4.148083728,9.872480461,2.083643895,38.97108225,10.41640238,8.754659424,8.725279567,12.43201243,15.87141322
2/9/2020,2.026727903,0.563850841,1.896842875,3.575934249,6.947301065,1.857419701,46.49892875,10.26802058,7.684645495,7.724017977,9.141185612,16.80012307
2/10/2020,2.200447438,0.652879921,2.966856805,3.003784769,8.227067051,2.226522334,43.2561641,11.0692823,8.560111437,7.151868497,13.34613099,16.89537536
2/11/2020,1.853008369,0.949643521,2.28593885,3.862008988,8.9583619,2.226522334,41.86640783,12.96856934,8.51147444,8.010092717,12.06636501,17.34782375
2/12/2020,1.853008369,0.801261721,2.43184984,3.003784769,8.9583619,2.131270042,35.14925249,9.882227895,8.316926453,7.724017977,13.89460213,14.77601185
2/13/2020,1.679288834,0.682556281,1.994116869,2.145560549,8.592714475,1.845513165,32.94880505,10.26802058,8.316926453,5.721494798,13.16330728,14.26403078
2/14/2020,1.100223719,0.712232641,1.750931885,3.862008988,7.312948489,1.738354336,23.74166972,7.953264492,6.274172587,7.580980607,9.689656748,10.87066787
2/15/2020,1.621382322,0.534174481,1.702294888,2.288597919,7.130124777,1.61928897,29.24278832,7.003620971,6.906453546,5.149345318,9.689656748,11.57315352
2/16/2020,1.331849765,0.534174481,1.459109904,2.717710029,9.324009324,1.678821653,28.37419064,8.279704453,6.906453546,6.722756387,12.61483614,12.22801303
2/17/2020,2.142540926,0.563850841,2.140027859,3.575934249,10.23812789,2.155083115,36.7127283,8.665497133,7.587371501,7.294905867,14.07742584,14.40690922
2/18/2020,1.563475811,0.741909001,1.945479872,3.575934249,8.044243338,1.916952384,27.1581539,9.229347974,8.51147444,8.296167457,11.8835413,12.8352464
2/19/2020,1.621382322,0.623203561,2.43184984,3.862008988,8.409890763,2.047924286,24.1470153,8.487438973,7.344186517,7.724017977,10.78659902,11.51362084
2/20/2020,1.795101857,0.623203561,2.042753866,2.574672659,7.861419626,1.845513165,20.49890508,8.220351733,7.781919488,6.579719017,11.33507016,10.70397635
2/21/2020,1.563475811,0.563850841,2.042753866,3.003784769,5.484711367,1.65500858,20.73053112,8.012617212,7.198275527,7.867055347,9.141185612,10.4896587
2/22/2020,0.984410696,0.534174481,1.36183591,3.575934249,7.312948489,1.524036678,20.26727903,6.855239171,5.641891629,6.007569538,10.96942273,9.5133227
2/23/2020,1.389756276,0.534174481,1.896842875,2.717710029,7.495772202,1.678821653,19.39868136,7.300384571,7.587371501,7.151868497,9.506833036,9.989584162
2/24/2020,1.042317207,0.652879921,1.653657891,3.289859509,10.4209516,1.833606628,21.19378321,8.724849854,7.246912523,7.151868497,13.71177842,11.12070513
2/25/2020,1.505569299,0.771585361,2.042753866,4.148083728,9.141185612,2.059830822,20.90425066,8.695173493,7.052364536,8.153130087,12.24918872,10.98973323
2/26/2020,1.216036742,0.474821761,1.799568882,3.862008988,8.044243338,1.726447799,20.73053112,7.478442732,7.684645495,8.296167457,12.98048357,10.68016328
2/27/2020,1.331849765,0.801261721,1.750931885,3.862008988,8.044243338,1.869326238,17.37195345,8.309380813,6.614631565,8.010092717,11.15224645,9.918144943
2/28/2020,1.216036742,0.623203561,2.237301853,3.862008988,5.850358792,1.750260872,18.41427066,7.715853612,6.322809584,7.437943237,8.227067051,9.584761919
2/29/2020,1.100223719,0.563850841,1.507746901,3.432896879,6.764477353,1.547849751,19.57240089,6.32106469,5.885076613,6.150606908,8.9583619,9.096593921
3/1/2020,1.389756276,0.563850841,1.556383898,4.005046358,5.484711367,1.583569361,21.71494182,6.70685737,5.787802619,7.151868497,7.861419626,9.680014212
3/2/2020,2.200447438,0.682556281,2.188664856,4.005046358,9.872480461,2.238428871,28.6637232,9.555787935,9.289666389,8.582242197,13.16330728,13.57345166
3/3/2020,1.042317207,0.830938081,2.820945814,3.003784769,8.9583619,2.071737359,22.641446,9.555787935,9.386940383,7.008831127,13.16330728,12.22801303
3/4/2020,1.216036742,0.890290801,1.896842875,3.003784769,7.678595914,1.821700091,24.32073484,9.911904255,8.803296421,7.294905867,10.60377531,12.43042415
3/5/2020,1.273943253,0.741909001,2.091390862,2.002523179,8.775538187,1.809793555,24.03120228,11.54410406,9.192392396,5.435420058,12.43201243,13.08528366
3/6/2020,0.868597673,0.504498121,1.848205878,3.718971619,11.51789387,1.905045847,11.69711533,11.54410406,10.6515023,12.30121382,21.20755062,12.06132152
3/7/2020,0.868597673,0.593527201,1.459109904,3.003784769,4.387769094,1.30971902,21.07797019,8.517115333,6.614631565,7.724017977,8.044243338,10.53728484
3/8/2020,1.679288834,0.563850841,1.36183591,3.003784769,8.044243338,1.678821653,24.20492181,8.101646293,7.684645495,5.292382688,11.15224645,11.27549011
3/9/2020,1.331849765,0.949643521,2.869582811,4.720233208,8.9583619,2.333681163,29.6481339,13.41371474,12.59698217,10.58476538,12.61483614,16.26432892
3/10/2020,1.331849765,1.008996242,2.675034824,4.577195838,8.775538187,2.286055017,28.02675157,15.16461998,13.56972211,10.15565327,14.62589698,16.96681458
3/11/2020,1.15813023,1.602523442,2.43184984,4.291121098,7.678595914,2.333681163,28.95325576,18.93351771,16.00157195,12.73032592,11.51789387,19.27668267
3/12/2020,1.737195345,1.513494362,3.015493802,6.722756387,11.15224645,2.988540673,33.52787017,25.78875688,18.04432581,16.73537228,15.72283925,24.0750169
3/13/2020,1.331849765,1.513494362,3.988233738,6.007569538,12.24918872,3.155232185,25.94211716,23.53335352,20.81663463,16.30626017,18.46519494,22.43191485
3/14/2020,1.273943253,1.394788922,4.085507731,6.722756387,7.312948489,2.857568771,21.1358767,17.50905243,15.90429795,14.01766225,13.52895471,17.31210414
3/15/2020,1.679288834,1.869610683,4.669151693,7.294905867,11.51789387,3.595774037,25.18933251,20.17992483,20.96254562,15.73411069,16.63695781,20.80071935
3/16/2020,1.447662788,2.285079724,6.371446581,10.29869064,12.61483614,4.453044668,21.42540926,30.24021089,28.40400613,22.74294182,19.56213721,26.65873533
3/17/2020,1.563475811,2.997312365,6.225535591,7.867055347,11.15224645,4.429231595,18.1247381,32.02079249,29.32810907,22.17079234,19.01366607,26.83733337
3/18/2020,0.75278465,2.581843324,7.684645495,10.58476538,18.09954751,5.131717251,15.05569299,34.45425401,36.4777476,25.60368922,25.59531971,29.647276
3/19/2020,1.042317207,4.035984966,8.803296421,15.01892384,17.73390009,6.393810125,13.95546928,37.5109191,38.22867949,32.04037087,26.32661456,31.65948067
3/20/2020,1.737195345,4.243719487,11.13787227,17.5935965,21.75602176,7.667809535,14.47662788,38.49023898,44.74603706,36.33149197,35.8334476,34.7313671
3/21/2020,0.810691161,3.976632246,10.55422831,12.30121382,23.40143517,6.89388466,10.24945254,28.84542196,38.71504945,29.75177295,35.28497646,27.93273474
3/22/2020,0.926504184,4.659188527,11.28378326,12.44425119,21.75602176,7.274893829,10.30735905,28.34092384,39.5905154,27.32013766,31.99414964,27.53981903
3/23/2020,0.926504184,5.490126609,15.51520198,20.74041864,27.97202797,9.739546894,7.64365952,31.60532345,52.96568952,42.19602413,38.94145071,33.26686311
3/24/2020,0.75278465,6.49912285,17.84977783,27.46317503,29.80026509,11.35883586,10.13363952,38.37153354,60.21260204,51.06434107,47.35134147,39.5535144
3/25/2020,1.042317207,6.67718101,18.67660677,26.60495081,34.73650532,11.94225616,8.049005101,40.74564234,64.83311674,55.64153691,50.64216829,41.80384981
3/26/2020,0.926504184,6.76621009,21.15709361,29.89481032,32.72544449,12.70427449,6.427622778,36.35354106,60.55306102,57.21494798,50.45934458,38.77958953
3/27/2020,0.289532558,6.64750465,21.49755259,36.90364145,38.02733214,13.53773205,6.195996732,32.61431969,58.36439616,60.07569538,54.84711367,37.21983324
3/28/2020,0.636971627,5.223039368,17.65522984,24.745465,31.08003108,10.63253714,4.458801387,25.551346,48.19926383,45.1998089,42.96357238,29.52821063
