RACE_GROUP,AGE_0_17_YRS,AGE_18_24_YRS,AGE_25_34_YRS,AGE_35_44_YRS,AGE_45_54_YRS,AGE_55_64_YRS,AGE_65_74_YRS,AGE_GE_75_YRS
Asian/Pacific-Islander,2.78,4.06,11.78,31.26,120.02,356.41,917.92,3525.48
Black/African-American,6.17,20.61,48.39,133.94,352.99,848.25,1950.04,4627.53
Hispanic/Latino,2.67,11.42,39.91,146.88,352.47,792.25,1796.8,4740.49
White,2.64,4.67,10.83,28.13,101.5,382.16,936.68,4064.26
