group,subgroup,BK_CONFIRMED_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CONFIRMED_CASE_RATE,BK_CASE_RATE,BK_HOSPITALIZED_RATE,BK_DEATH_RATE,BX_CONFIRMED_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_CONFIRMED_CASE_RATE,BX_CASE_RATE,BX_HOSPITALIZED_RATE,BX_DEATH_RATE,MN_CONFIRMED_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_CONFIRMED_CASE_RATE,MN_CASE_RATE,MN_HOSPITALIZED_RATE,MN_DEATH_RATE,QN_CONFIRMED_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_CONFIRMED_CASE_RATE,QN_CASE_RATE,QN_HOSPITALIZED_RATE,QN_DEATH_RATE,SI_CONFIRMED_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_CONFIRMED_CASE_RATE,SI_CASE_RATE,SI_HOSPITALIZED_RATE,SI_DEATH_RATE
Boroughwide,Boroughwide,879294,167916,1047210,69338,14560,34348.72,40908.19,2708.62,568.77,483424,126164,609588,48979,8725,34086.98,42983.01,3453.59,615.21,532780,119374,652154,35420,6391,32711.86,40041.24,2174.73,392.4,814445,178198,992643,62381,13855,36135.6,44041.95,2767.74,614.72,204459,46052,250511,13809,2826,42940.67,52612.56,2900.18,593.52
Age,0-4,37556,6405,43961,1594,,20530.71,24032.12,871.39,,22184,4559,26743,1265,,22139.94,26689.89,1262.49,,17207,2581,19788,602,,22597.97,25987.6,790.61,,31860,6206,38066,982,,23239.36,27766.15,716.29,,7210,1462,8672,197,,26358.12,31702.86,720.19,
Age,5-12,67453,12207,79660,767,,26769.67,31614.19,304.39,,39952,11129,51081,594,,25823.66,33017.07,383.94,,25607,5121,30728,257,,25813.85,30976.22,259.08,,54113,11609,65722,425,,27620.12,33545.53,216.93,,15360,3156,18516,84,,33570.15,40467.76,183.59,
Age,13-17,40723,8408,49131,658,,29054.28,35053.06,469.46,,24709,7610,32319,504,,26825.37,35087.18,547.17,,16778,3676,20454,265,,30006.22,36580.48,473.93,,34626,8406,43032,418,,30164.11,37486.92,364.14,,10683,2538,13221,106,,35769.77,44267.72,354.92,
Age,0-17,,,,,22,,,,3.83,,,,,11,,,,3.17,,,,,9,,,,3.89,,,,,14,,,,3.13,,,,,4,,,,3.88
Age,18-24,78568,16922,95490,2174,31,37804.38,45946.7,1046.06,14.92,43935,13825,57760,1837,13,31529.98,41451.5,1318.32,9.33,61524,14454,75978,845,8,42241.21,52165.05,580.16,5.49,69010,17140,86150,1506,19,40080.57,50035.38,874.68,11.04,19123,4731,23854,311,8,48202.69,60127.96,783.93,20.17
Age,25-34,181064,38421,219485,5481,132,38520.89,46694.86,1166.07,28.08,84963,23391,108354,4350,104,37365.59,47652.64,1913.07,45.74,131696,32006,163702,2543,53,36392.27,45236.67,702.72,14.65,150783,34438,185221,4724,119,41921.78,51496.48,1313.4,33.09,34035,7670,41705,707,15,52588.88,64440.12,1092.41,23.18
Age,35-44,140400,27326,167726,5524,303,39219.41,46852.67,1543.08,84.64,74827,19572,94399,4544,259,41710.98,52621.05,2532.97,144.37,80034,17505,97539,2649,103,34179.63,41655.39,1131.29,43.99,131386,27978,159364,5275,327,42909.26,52046.57,1722.76,106.79,30839,6634,37473,957,54,52115.79,63326.8,1617.26,91.26
Age,45-54,110595,20547,131142,6735,829,37443.38,44399.83,2280.22,280.67,67505,16888,84393,5828,622,38848.44,48567.32,3353.96,357.95,62310,14032,76342,3212,265,31858.6,39033.04,1642.27,135.49,117994,25087,143081,6820,778,39436.37,47821.03,2279.4,260.03,30294,6596,36890,1506,148,47207.5,57486.13,2346.82,230.63
Age,55-64,100222,17916,118138,11060,1956,35075.16,41345.3,3870.72,684.55,63279,15494,78773,8999,1464,38932.54,48465.25,5536.65,900.73,58345,13023,71368,5504,684,31699.07,38774.52,2990.35,371.62,108597,23561,132158,11128,2082,36142.62,43984.05,3703.56,692.92,28033,6374,34407,2372,312,42390.75,52029.34,3586.87,471.8
