week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
03/07/2020,0.26,,,,0.49
03/14/2020,19.71,8.56,15.53,17.05,26.93
03/21/2020,191.46,75.44,179.73,199.54,219.85
03/28/2020,298.72,134.98,334.58,349.57,244.33
04/04/2020,369.79,187.04,432.48,447.49,263.4
04/11/2020,358.79,207.35,424.49,433.55,237.32
04/18/2020,231.26,131.61,273.23,296.71,140.55
04/25/2020,177.84,97.58,201.1,238.39,112.43
05/02/2020,114.46,60.81,127.04,155.04,74.9
05/09/2020,71.6,36.22,75.04,97.01,49.11
05/16/2020,60.41,26.73,61.32,84.17,45.71
05/23/2020,50.14,23.84,62.38,67.04,31.89
05/30/2020,39.18,18,53.67,50.09,22.59
06/06/2020,31.34,16.1,34.71,46.27,17.51
06/13/2020,24.82,14.54,26.72,37.38,13.38
06/20/2020,23.45,14.09,23.38,34.9,14.28
06/27/2020,21.77,15.22,21.71,30.67,13.64
07/04/2020,23.15,18.79,21.36,29.71,18.37
07/11/2020,25.45,17.67,24.42,35.59,19.25
07/18/2020,26.96,18.36,25.45,39.93,19.06
07/25/2020,21.12,15.88,18.37,29.33,16.39
08/01/2020,18.78,10.1,14.14,30.95,13.69
08/08/2020,18.05,11.97,12.43,30.4,12.33
08/15/2020,19.58,13.3,14.9,31.58,14.68
08/22/2020,17.99,12.52,12.62,25.94,16.66
08/29/2020,18.87,11.61,13.57,25.58,20.04
09/05/2020,18.81,10.5,11.49,22.83,25.02
09/12/2020,21.39,14.29,11.76,23.96,29.93
09/19/2020,26.59,17,13.46,26.68,42.42
09/26/2020,33.3,19.65,18.17,30.27,54.39
10/03/2020,39.9,27.21,21.38,38.32,62.28
10/10/2020,38.68,30.49,20.96,41.31,52.19
10/17/2020,40.58,35.17,23.62,46.72,48.74
10/24/2020,50.98,43.56,29.75,63.43,57.08
10/31/2020,56.54,37.36,34.59,73.51,64.32
11/07/2020,89.1,58.74,51.95,115.01,103.38
11/14/2020,128.65,93.83,79.87,170.74,138.83
11/21/2020,145.81,94.68,92.33,200.64,153.25
11/28/2020,169.41,116.33,106.97,228.45,179.2
12/05/2020,245.37,190.19,167.01,316.28,257.72
12/12/2020,255.3,237.06,177.95,320.08,253.02
12/19/2020,263.73,250.6,174.15,316.84,276.11
12/26/2020,282.64,272.67,181.69,342.33,294.69
01/02/2021,347.51,324.6,237.59,444.15,327.78
01/09/2021,446.49,396.38,341.46,571.48,420.15
01/16/2021,413.06,373.17,330.93,532.82,369.07
01/23/2021,394.52,363.4,332.29,504.65,343.09
01/30/2021,377.35,340.05,330.49,487.78,322.83
02/06/2021,304.42,281.34,259.61,386.51,263.75
02/13/2021,294.28,263.3,257.66,378.52,252.66
02/20/2021,260.7,250.89,215.52,330.81,225.32
02/27/2021,283.27,265.02,235,365.67,248.95
03/06/2021,272.48,256.11,222.43,342.81,250.01
03/13/2021,274.83,273.92,225.51,332.73,258.52
03/20/2021,267.01,269.86,237.69,312.77,248.55
03/27/2021,298.44,291.61,280.27,350.9,270.29
04/03/2021,255.55,251.79,262.5,301.71,211.95
04/10/2021,228.43,221.87,254.09,268.1,190.63
04/17/2021,181.7,168.16,214.12,211.03,147.46
04/24/2021,128.27,114.57,157.83,148.91,102.75
05/01/2021,93.02,76.71,125.66,111.21,69.76
05/08/2021,66.09,47.87,92.81,79.91,48.52
05/15/2021,46.25,33.35,63.08,59.56,32.61
05/22/2021,32.81,19.52,43.93,43.06,25.02
05/29/2021,22.29,13.14,26.7,30.26,17.4
06/05/2021,17.42,10.11,18.83,24.78,13.66
06/12/2021,15.5,7.08,17.57,23.02,11.34
06/19/2021,14.31,6.02,15.43,19.27,12.82
06/26/2021,14.53,10.1,12.52,17.41,16.22
07/03/2021,17.78,8.48,15.76,20.56,21.1
07/10/2021,27.41,15.57,27.42,29.05,30.91
07/17/2021,44.48,27.07,45.75,42.93,52.47
07/24/2021,72.87,39.11,76.94,72.09,86.73
07/31/2021,103.97,54.46,124.33,100.24,117.18
08/07/2021,128.45,67.92,160.95,128.86,132.36
08/14/2021,134.55,65.96,174.15,131.68,142.26
08/21/2021,137.92,65,177.28,140.39,146.45
08/28/2021,131.14,69.58,158.88,127.45,146.1
09/04/2021,120.24,58.84,132.18,121.01,140.72
09/11/2021,118.09,77.52,126.16,112.91,137.29
09/18/2021,126.32,92.32,134.78,115.66,152.94
09/25/2021,113.06,86.28,124.48,111.69,131.14
10/02/2021,96.86,79.25,94.72,95.59,117.27
10/09/2021,91.97,69.14,80.97,86.1,123.24
10/16/2021,77.27,62.99,62.66,69.63,107.68
10/23/2021,62.25,50.72,51.35,58.91,84.95
10/30/2021,55.96,45.16,44.29,51.48,77.71
11/06/2021,65.19,50.48,51.63,58.79,91.52
11/13/2021,82.13,68.6,59.23,73.7,115.76
11/20/2021,102.87,90.78,70.91,86.11,151.97
11/27/2021,103.85,94.27,73.8,86.6,147.97
12/04/2021,164.34,158.95,125.47,157.01,216.27
12/11/2021,217.72,194.81,172.16,194.71,295.61
12/18/2021,784.15,607.01,633.43,625.07,1117.3
12/25/2021,1694.58,1362.4,1820.16,1858.41,1735.62
01/01/2022,2730.68,2453.86,2764.38,3769.5,2083.2
01/08/2022,2588.97,2997.42,2365.79,3441.46,2054.94
01/15/2022,1192.31,1674.08,954.6,1407.33,1024.48
01/22/2022,562.59,853.6,407.15,559.97,576.31
01/29/2022,264.77,399.31,181.4,247.35,289.35
02/05/2022,138.52,195.89,89.89,120.19,171.25
02/12/2022,87.68,116.49,59.62,75.66,107.71
02/19/2022,58.28,73.84,40.29,44.19,77.71
02/26/2022,43.72,49.93,26.45,32.27,58.78
03/05/2022,42.7,52.81,23.45,32.91,58.86
03/12/2022,45.5,46.81,25.86,29.29,71.66
03/19/2022,59.58,58.68,32.05,38.5,92.95
03/26/2022,88.1,95.95,42.72,56.16,139.93
04/02/2022,108.05,127.8,58.18,66.66,163.74
04/09/2022,147.26,171.29,82.49,91.21,225.12
04/16/2022,174,211.88,105.97,114,246.06
04/23/2022,162.29,224.49,96.41,112.05,206.1
04/30/2022,209.53,311.65,131.71,152.1,260.41
05/07/2022,268.41,412.29,173.08,190.56,332.53
05/14/2022,301.42,452.55,218.97,236.02,351.53
05/21/2022,311.94,427.4,242.7,267.06,345.16
05/28/2022,281.2,380.03,215.7,240.85,316.21
06/04/2022,237.96,323.78,188.99,209.48,247.94
06/11/2022,212.88,274.2,171.73,197.09,215.05
06/18/2022,209.18,249.74,174.03,199.9,214.21
06/25/2022,231.6,276.32,198.15,218.04,230.5
07/02/2022,270.2,304.53,224.06,266.34,262.78
07/09/2022,301.54,337.82,277.29,300.74,272
07/16/2022,318.67,367.75,300.8,335,262.52
07/23/2022,295.54,323.43,291.16,313.87,247.62
07/30/2022,273.47,293.24,263.51,307.13,220.85
08/06/2022,244.83,267.31,227.92,283.02,195.05
08/13/2022,203.69,220.53,194.91,230.05,161.4
08/20/2022,176.55,195.4,160.42,194.6,140.8
08/27/2022,156.46,172.54,142.89,167.74,129.71
09/03/2022,142.08,153.89,123.47,155.92,121.24
09/10/2022,127.97,151.48,111.93,126.92,116.07
09/17/2022,140.04,150.82,125.52,153.09,129.52
09/24/2022,155.2,159.11,127.4,171.7,148.94
10/01/2022,147.39,155.42,120.16,145.62,146.85
10/08/2022,135.65,142.97,108.28,127.41,137.51
10/15/2022,147.01,156.42,124.19,145.67,135.19
10/22/2022,147.73,157.64,132.55,145.92,131.52
10/29/2022,169.02,177.55,152.08,174.7,146.9
11/05/2022,188.8,181.08,179.82,208.29,160.1
11/12/2022,185.9,178.1,176.7,206.92,153.73
11/19/2022,179.58,174.42,161.41,208.48,148.52
11/26/2022,196.74,184.16,171.59,218.07,173.96
12/03/2022,273.23,252.16,244.14,330.59,220.88
12/10/2022,272.18,245.65,247.68,323.3,227.64
12/17/2022,270.73,230.15,239.46,315.55,245.01
12/24/2022,252.06,206.97,212.45,286.14,238.84
12/31/2022,228.55,186.17,195.83,275.17,196.59
01/07/2023,240.56,218.27,203.12,287.11,201.53
01/14/2023,182.97,166.43,167.87,217.35,150.11
01/21/2023,150.49,128.35,140.19,177.24,131.23
01/28/2023,132.15,114.12,121.28,157.37,116.22
02/04/2023,105.12,88.85,96.91,123.22,94.54
02/11/2023,88.42,75.67,79.59,99.06,83.19
02/18/2023,69.79,54.06,61.87,74.2,70.11
02/25/2023,51.55,43.78,45.45,52.05,50.54
03/04/2023,42.88,36.38,35.35,43.98,44.27
03/11/2023,34.64,29.92,28.87,33.83,37.03
03/18/2023,32.48,28.98,28.33,29.9,36.54
03/25/2023,29.99,26.67,21.9,30.46,33.05
04/01/2023,28.52,26.31,21.03,27.9,31.4
04/08/2023,22.85,22.93,17.93,20.43,24.68
04/15/2023,19.74,18.34,16.13,17.62,20.84
04/22/2023,20.74,21.68,16.37,18.37,22.12
04/29/2023,20.34,20.61,18.02,18.13,20.81
05/06/2023,19.28,20.63,14.07,16.65,20.7
05/13/2023,19.58,20.3,15.3,17.75,20.74
05/20/2023,20.7,21.87,17.33,20.35,19.66
05/27/2023,20.78,22.57,17.29,17.23,20.94
06/03/2023,22.27,23.6,18.55,19.35,21.51
06/10/2023,19.84,21.74,17.5,19.29,17.17
06/17/2023,19.91,18.69,15.75,20.86,18.48
06/24/2023,17.31,15.99,13.06,18.01,16.59
07/01/2023,18.04,15.53,16.31,18.55,16.88
07/08/2023,17.67,16.71,15.87,18.07,15.73
07/15/2023,26.35,24.26,21.71,31.19,21.28
07/22/2023,29.52,24.71,28.31,31.88,24.49
07/29/2023,41.42,37.1,41.29,47.19,32.4
08/05/2023,55.32,47.42,55.98,61.82,44.31
08/12/2023,70.03,64.72,67.98,77.13,55.9
08/19/2023,75.33,68.15,72.26,88.62,55.98
08/26/2023,82.83,72.58,82.15,95.61,64.52
09/02/2023,88.33,81.65,84.54,103.75,66.75
09/09/2023,95.9,94.89,92.58,108.81,72.33
