MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_WEEK4,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK1,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_WEEK4,COVID_CASE_RATE_WEEK3,COVID_CASE_RATE_WEEK2,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK
10001,Chelsea/NoMad/West Chelsea,13,5,11,5,34,55.17,21.22,46.68,21.22,144.29,-11,1,4.24,3365,14280.85,1.01
10002,Chinatown/Lower East Side,17,15,33,26,91,22.15,19.54,42.99,33.87,118.56,84,0,0,7306,9518.55,1.25
10003,East Village/Gramercy/Greenwich Village,11,38,19,20,88,20.45,70.63,35.31,37.17,163.56,-20,0,0,11290,20984.5,0.78
10004,Financial District,4,2,1,1,8,109.57,54.79,27.39,27.39,219.14,-67,0,0,588,16106.92,1.36
10005,Financial District,5,3,0,1,9,59.55,35.73,0,11.91,107.19,-88,0,0,1110,13220.41,0.81
10006,Financial District,0,1,1,1,3,0,28.92,28.92,28.92,86.76,100,0,0,379,10960.82,0.79
10007,TriBeCa,3,5,1,6,15,36.36,60.61,12.12,72.73,181.82,-13,0,0,987,11964.03,1.52
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,16,23,15,22,76,27.23,39.15,25.53,37.45,129.37,-5,0,0,7356,12521.28,1.03
10010,Flatiron/Gramercy/Kips Bay,10,14,13,11,48,30.89,43.25,40.16,33.98,148.28,0,0,0,5979,18469.74,0.8
10011,Chelsea,16,20,30,26,92,32.32,40.4,60.61,52.52,185.86,56,0,0,7492,15135.19,1.23
10012,Greenwich Village/SoHo,16,15,8,27,66,66.72,62.55,33.36,112.59,275.22,13,0,0,4434,18489.48,1.49
10013,Hudson Square/Little Italy/SoHo/TriBeCa,4,4,7,9,24,13.78,13.78,24.11,31,82.67,100,0,0,3808,13116.97,0.63
10014,Hudson Square/Meatpacking District/West Village,15,14,20,16,65,48.32,45.1,64.43,51.54,209.39,24,0,0,4945,15929.44,1.31
10016,Kips Bay/Murray Hill/NoMad,18,20,22,16,76,34.27,38.08,41.89,30.46,144.69,0,0,0,7432,14149.63,1.02
10017,East Midtown/Murray Hill,5,3,9,14,31,31,18.6,55.81,86.81,192.22,188,0,0,1933,11985.95,1.6
10018,Hell's Kitchen/Midtown Manhattan,7,1,5,5,18,73.44,10.49,52.46,52.46,188.85,25,0,0,1166,12233.2,1.54
10019,Hell's Kitchen/Midtown Manhattan,11,15,13,12,51,27.07,36.92,31.99,29.53,125.52,-4,1,2.46,5473,13469.86,0.93
10021,Lenox Hill/Upper East Side,11,9,21,14,55,24.9,20.37,47.54,31.69,124.5,75,0,0,5964,13500.66,0.92
10022,East Midtown,3,8,23,17,51,9.89,26.37,75.82,56.04,168.12,264,0,0,3813,12569.72,1.34
10023,Lincoln Square,13,18,17,20,68,21.57,29.86,28.2,33.18,112.82,19,1,1.66,7710,12791.41,0.88
10024,Upper West Side,11,14,12,16,53,19.18,24.42,20.93,27.9,92.43,12,0,0,8322,14514.02,0.64
10025,Manhattan Valley/Morningside Heights/Upper West Side,22,19,33,32,106,23.83,20.58,35.74,34.66,114.8,59,2,2.17,14701,15921.64,0.72
10026,Central Harlem (South),10,12,8,11,41,25.63,30.76,20.5,28.19,105.08,-14,1,2.56,3933,10079.96,1.04
10027,Central Harlem (South)/Morningside Heights/West Harlem,11,18,10,18,57,17.29,28.29,15.72,28.29,89.58,-3,3,4.71,7487,11766.27,0.76
10028,Upper East Side/Yorkville,9,14,17,25,65,18.31,28.48,34.58,50.86,132.23,83,0,0,5634,11461.68,1.15
10029,East Harlem,21,32,44,32,129,26.64,40.59,55.81,40.59,163.62,43,0,0,7456,9456.95,1.73
10030,Central Harlem (North),6,5,12,7,30,20.46,17.05,40.93,23.87,102.31,73,0,0,2556,8717.03,1.17
10031,Hamilton Heights/West Harlem,22,32,29,37,120,36.33,52.84,47.89,61.1,198.16,22,2,3.3,5013,8278.16,2.39
10032,Washington Heights (South),14,19,38,25,96,22.77,30.9,61.8,40.66,156.12,91,0,0,5511,8962.06,1.74
10033,Washington Heights (North)/Washington Heights (South),31,21,26,20,98,52.36,35.47,43.91,33.78,165.51,-12,1,1.69,5066,8555.92,1.93
10034,Inwood/Washington Heights (North),23,8,22,31,84,53.4,18.57,51.08,71.97,195.01,71,0,0,3403,7900.42,2.47
10035,East Harlem,11,13,15,9,48,31.95,37.76,43.57,26.14,139.43,0,0,0,3654,10613.87,1.31
10036,Hell's Kitchen/Midtown Manhattan,5,14,13,10,42,19.08,53.41,49.6,38.15,160.24,21,0,0,3535,13486.57,1.19
10037,Central Harlem (North)/East Harlem,4,5,4,5,18,19.37,24.21,19.37,24.21,87.17,0,1,4.84,1891,9157.55,0.95
10038,Chinatown/Financial District,11,11,5,13,40,49.89,49.89,22.68,58.96,181.42,-18,0,0,2624,11901.33,1.52
10039,Central Harlem (North)/Washington Heights (South),5,6,4,9,24,18.9,22.68,15.12,34.02,90.71,18,0,0,1950,7370.31,1.23
10040,Washington Heights (North),17,9,10,15,51,37.94,20.09,22.32,33.48,113.82,-4,1,2.23,4348,9703.56,1.17
10044,Roosevelt Island,1,1,2,11,15,8.55,8.55,17.09,94.01,128.2,550,0,0,1244,10632.21,1.21
10065,Lenox Hill/Upper East Side,5,12,17,8,42,17.2,41.29,58.5,27.53,144.52,47,0,0,4302,14803.09,0.98
10069,Lincoln Square,0,1,5,1,7,0,15.78,78.89,15.78,110.44,500,0,0,1023,16140.41,0.68
10075,Lenox Hill/Upper East Side,6,2,8,11,27,25.39,8.46,33.85,46.54,114.24,138,3,12.69,3377,14288.65,0.8
10128,Upper East Side/Yorkville,16,12,11,27,66,26.08,19.56,17.93,44.01,107.58,36,1,1.63,7673,12506.53,0.86
10280,Battery Park City,0,1,0,3,4,0,10.4,0,31.19,41.59,200,0,0,828,8608.23,0.48
10282,Battery Park City,0,0,1,1,2,0,0,18.13,18.13,36.26,,0,0,559,10135.18,0.36
10301,Silver Lake/St. George,13,18,35,29,95,32.82,45.44,88.35,73.21,239.82,106,1,2.52,4125,10413.1,2.3
10302,Elm Park,8,6,10,15,39,42.61,31.96,53.27,79.9,207.73,79,0,0,1545,8229.47,2.52
10303,Graniteville/Mariner's Harbor/Port Ivory,5,16,19,18,58,19.06,61,72.43,68.62,221.11,76,1,3.81,2246,8562.17,2.58
10304,New Dorp/Todt Hill,17,19,23,32,91,40.05,44.76,54.18,75.39,214.38,53,0,0,4343,10231.17,2.1
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,27,23,28,53,131,63.44,54.04,65.79,124.53,307.79,62,0,0,3810,8951.86,3.44
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,35,25,36,37,133,65.19,46.57,67.06,68.92,247.74,22,1,1.86,5368,9998.95,2.48
10307,Tottenville,14,4,6,11,35,92.02,26.29,39.44,72.3,230.04,-6,0,0,1262,8294.69,2.77
10308,Great Kills,5,18,20,17,60,16.87,60.74,67.49,57.36,202.46,61,1,3.37,2609,8803.68,2.3
10309,Charleston/Prince's Bay/Woodrow,13,18,32,24,87,39.39,54.54,96.96,72.72,263.6,81,1,3.03,2689,8147.26,3.24
10310,Port Richmond/Randall Manor/West Brighton,7,12,8,12,39,29.32,50.27,33.51,50.27,163.38,5,1,4.19,2201,9220.41,1.77
10312,Annadale/Rossville,24,26,30,60,140,39.8,43.11,49.75,99.5,232.16,80,3,4.97,5086,8433.89,2.75
10314,Bloomfield/Freshkills Park,41,51,65,91,248,45.14,56.15,71.56,100.18,273.02,70,3,3.3,8701,9578.98,2.85
10451,Concourse/Melrose,17,24,21,15,77,35.63,50.29,44.01,31.43,161.36,-12,1,2.1,3833,8032.48,2.01
10452,Concourse/Highbridge,35,24,40,34,133,45.43,31.15,51.92,44.14,172.65,25,0,0,5415,7029.27,2.46
10453,Morris Heights/Mount Hope/University Heights,35,31,46,46,158,43.11,38.18,56.66,56.66,194.62,39,3,3.7,5236,6449.54,3.02
10454,Mott Haven/Port Morris,4,7,12,23,46,10.46,18.31,31.39,60.17,120.35,218,0,0,2953,7725.63,1.56
10455,Mott Haven,16,10,25,22,73,37.94,23.71,59.28,52.16,173.09,81,0,0,3052,7236.62,2.39
10456,Claremont/Morrisania,18,26,29,28,101,19.26,27.82,31.04,29.97,108.09,30,1,1.07,6416,6866.3,1.57
10457,Belmont/Claremont/Mount Hope/Tremont,28,25,34,32,119,37.49,33.47,45.52,42.85,159.34,25,0,0,5129,6867.5,2.32
10458,Belmont/Fordham University/Kingsbridge,24,27,49,60,160,28.64,32.22,58.47,71.59,190.91,114,4,4.77,6080,7254.7,2.63
10459,Charlotte Gardens/Hunts Point,17,14,18,42,91,35.16,28.95,37.23,86.86,188.19,94,1,2.07,3958,8185.37,2.3
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,23,29,17,29,98,38.29,48.27,28.3,48.27,163.13,-12,1,1.66,4017,6686.84,2.44
10461,Morris Park/Pelham Bay/Westchester Square,15,15,30,28,88,30.32,30.32,60.63,56.59,177.85,93,0,0,4447,8987.55,1.98
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,28,42,36,51,157,36.21,54.31,46.55,65.95,203.02,24,2,2.59,5903,7633.28,2.66
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,17,20,20,30,87,23.85,28.06,28.06,42.08,122.04,35,3,4.21,6839,9593.57,1.27
10464,City Island,2,0,0,0,2,45.94,0,0,0,45.94,-100,0,0,370,8499.57,0.54
10465,Country Club/Throgs Neck,18,22,30,20,90,41.83,51.13,69.72,46.48,209.15,25,1,2.32,4015,9330.61,2.24
10466,Edenwald/Wakefield,14,16,17,30,77,19.4,22.17,23.56,41.57,106.7,57,1,1.39,5155,7143.19,1.49
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,31,28,41,54,154,30.76,27.78,40.68,53.58,152.8,61,4,3.97,8730,8662.09,1.76
10468,Fordham/Kingsbridge/University Heights,31,18,40,40,129,40.43,23.47,52.16,52.16,168.23,63,0,0,5246,6841.32,2.46
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,23,18,35,19,95,32.16,25.17,48.95,26.57,132.85,32,4,5.59,6669,9326.2,1.42
10470,Wakefield/Woodlawn,6,3,4,6,19,42.54,21.27,28.36,42.54,134.72,11,1,7.09,1231,8728.17,1.54
